Time [sec],Flux [g/(m2h)],Mark,AmbT [C],AmbRH [%],ProbeT [C],ProbeRH [%],CondenserT [C],HeatsinkT [C],Ice [mg],Qty [g/m2]
0,21.64,0,25.7,46.1,23.35,18.93,-7.57,29.5,0.234,1.06E-04
1,22.66,0,25.7,46.1,23.35,19.27,-7.57,29.6,0.234,2.17E-04
2,23.55,0,25.7,46.1,23.35,19.57,-7.57,29.6,0.234,3.31E-04
3,24.48,0,25.7,46.1,23.35,19.85,-7.57,29.6,0.234,4.51E-04
4.1,25.32,0,25.7,46.1,23.35,20.12,-7.57,29.6,0.235,5.75E-04
5.1,26.24,0,25.7,46.1,23.35,20.38,-7.57,29.6,0.235,7.03E-04
6.1,27.2,0,25.7,46.1,23.35,20.65,-7.57,29.6,0.235,8.36E-04
7.1,28.2,0,25.7,46.1,23.35,20.93,-7.57,29.6,0.235,9.74E-04
8.1,29.27,0,25.7,46.1,23.35,21.23,-7.57,29.6,0.236,1.12E-03
9.2,30.3,0,25.7,46.1,23.35,21.52,-7.57,29.6,0.236,1.27E-03
10.2,31.23,0,25.7,46.1,23.35,21.81,-7.57,29.6,0.236,1.42E-03
11.2,32.15,0,25.7,46.1,23.35,22.08,-7.57,29.6,0.237,1.58E-03
12.2,33,0,25.7,46.1,23.35,22.34,-7.57,29.6,0.237,1.74E-03
13.2,33.75,0,25.7,46.1,23.35,22.58,-7.57,29.6,0.238,1.91E-03
14.3,34.46,0,25.7,46.1,23.35,22.8,-7.57,29.6,0.238,2.07E-03
15.3,35.06,0,25.7,46.1,23.35,23,-7.57,29.6,0.238,2.24E-03
16.3,35.63,0,25.7,46.1,23.35,23.18,-7.57,29.6,0.239,2.42E-03
17.3,36.09,0,25.7,46.1,23.35,23.34,-7.57,29.6,0.239,2.60E-03
18.3,36.44,0,25.7,46.1,23.35,23.47,-7.57,29.6,0.239,2.77E-03
19.3,36.77,0,25.7,46.1,23.35,23.58,-7.57,29.6,0.24,2.95E-03
20.4,37,0,25.7,46.1,23.35,23.67,-7.57,29.6,0.24,3.14E-03
21.4,37.18,0,25.7,46.1,23.35,23.74,-7.57,29.6,0.241,3.32E-03
22.4,37.29,0,25.7,46.1,23.35,23.79,-7.57,29.6,0.241,3.50E-03
23.4,37.38,0,25.7,46.1,23.35,23.83,-7.57,29.6,0.242,3.69E-03
24.4,37.4,0,25.6,46.1,23.36,23.85,-7.57,29.6,0.242,3.87E-03
25.5,37.36,0,25.6,46.1,23.36,23.85,-7.57,29.6,0.242,4.05E-03
26.5,37.31,0,25.6,46.1,23.36,23.85,-7.57,29.6,0.243,4.24E-03
27.5,37.22,0,25.6,46.1,23.36,23.83,-7.57,29.7,0.243,4.42E-03
28.5,37.13,0,25.6,46.2,23.36,23.81,-7.57,29.7,0.244,4.60E-03
29.6,37.03,0,25.6,46.2,23.36,23.79,-7.57,29.7,0.244,4.79E-03
30.6,36.92,0,25.6,46.2,23.36,23.75,-7.57,29.7,0.244,4.97E-03
31.6,36.81,0,25.6,46.2,23.36,23.72,-7.57,29.7,0.245,5.15E-03
32.6,36.67,0,25.6,46.2,23.36,23.69,-7.57,29.7,0.245,5.33E-03
33.6,36.54,0,25.6,46.2,23.36,23.65,-7.57,29.7,0.246,5.51E-03
34.7,36.39,0,25.6,46.2,23.36,23.61,-7.57,29.7,0.246,5.68E-03
35.7,36.17,0,25.6,46.2,23.36,23.56,-7.57,29.7,0.246,5.86E-03
36.7,35.95,0,25.6,46.2,23.36,23.51,-7.57,29.7,0.247,6.04E-03
37.7,35.73,0,25.6,46.2,23.36,23.44,-7.57,29.7,0.247,6.21E-03
38.7,35.57,0,25.6,46.2,23.36,23.39,-7.57,29.7,0.248,6.39E-03
39.8,35.31,0,25.6,46.2,23.36,23.32,-7.57,29.7,0.248,6.56E-03
40.8,35.09,0,25.6,46.2,23.36,23.26,-7.57,29.7,0.248,6.73E-03
41.8,34.87,0,25.6,46.2,23.36,23.19,-7.57,29.7,0.249,6.90E-03
42.8,34.7,0,25.6,46.3,23.36,23.13,-7.57,29.7,0.249,7.07E-03
43.8,34.49,0,25.6,46.3,23.37,23.07,-7.57,29.7,0.249,7.24E-03
44.8,34.24,0,25.6,46.3,23.37,23.01,-7.57,29.7,0.25,7.41E-03
45.9,34.04,0,25.6,46.3,23.37,22.95,-7.57,29.8,0.25,7.58E-03
46.9,33.83,0,25.6,46.3,23.37,22.89,-7.57,29.8,0.251,7.74E-03
47.9,33.62,0,25.6,46.3,23.37,22.82,-7.57,29.8,0.251,7.91E-03
48.9,33.34,0,25.6,46.3,23.37,22.75,-7.57,29.8,0.251,8.07E-03
49.9,33.13,0,25.6,46.3,23.37,22.69,-7.57,29.8,0.252,8.23E-03
