Time [sec],Flux [g/(m2h)],Mark,AmbT [C],AmbRH [%],ProbeT [C],ProbeRH [%],CondenserT [C],HeatsinkT [C],Ice [mg],Qty [g/m2]
0,0.9,0,24.9,34,22.43,13.01,-7.57,28.3,1.002,4.48E-06
1,1.39,0,25,34,22.43,13.11,-7.57,28.3,1.002,1.14E-05
2,2.16,0,25,34,22.43,13.28,-7.57,28.3,1.003,2.19E-05
3.1,3.21,0,25,34.1,22.43,13.52,-7.57,28.3,1.003,3.76E-05
4.1,4.54,0,25,34.1,22.43,13.85,-7.57,28.3,1.003,5.98E-05
5.1,6.18,0,25,34.1,22.43,14.26,-7.57,28.3,1.003,8.99E-05
6.1,7.76,0,25,34.1,22.43,14.71,-7.57,28.3,1.003,1.28E-04
7.1,9.43,0,25,34.1,22.43,15.18,-7.57,28.3,1.003,1.74E-04
8.1,11.06,0,25,34.1,22.43,15.67,-7.57,28.3,1.003,2.28E-04
9.2,12.62,0,25,34.1,22.42,16.16,-7.57,28.3,1.003,2.90E-04
10.2,14.07,0,25,34.1,22.42,16.62,-7.57,28.3,1.003,3.59E-04
11.2,15.29,0,25,34,22.42,17.04,-7.57,28.3,1.003,4.34E-04
12.2,16.39,0,25,34,22.42,17.41,-7.57,28.3,1.004,5.14E-04
13.2,17.34,0,25,34,22.42,17.75,-7.57,28.3,1.004,5.99E-04
14.3,18.18,0,25,34,22.42,18.04,-7.57,28.3,1.004,6.88E-04
15.3,18.9,0,25,34,22.42,18.3,-7.57,28.3,1.004,7.80E-04
16.3,19.49,0,25,34,22.42,18.52,-7.57,28.3,1.004,8.75E-04
17.3,20.01,0,25,34,22.42,18.71,-7.57,28.3,1.005,9.73E-04
18.3,20.42,0,25,33.9,22.42,18.87,-7.57,28.3,1.005,1.07E-03
19.3,20.75,0,25,33.9,22.42,18.99,-7.57,28.3,1.005,1.17E-03
20.3,21,0,25,33.9,22.42,19.1,-7.57,28.3,1.005,1.28E-03
21.4,21.18,0,25,33.9,22.42,19.17,-7.57,28.3,1.006,1.38E-03
22.4,21.32,0,25,33.9,22.42,19.23,-7.57,28.3,1.006,1.49E-03
23.4,21.39,0,25,33.9,22.42,19.27,-7.57,28.3,1.006,1.59E-03
24.4,21.49,0,25,33.8,22.42,19.31,-7.57,28.3,1.006,1.70E-03
25.4,21.51,0,24.9,33.8,22.42,19.33,-7.57,28.3,1.006,1.80E-03
26.5,21.49,0,24.9,33.8,22.43,19.33,-7.57,28.3,1.007,1.91E-03
27.5,21.48,0,24.9,33.8,22.43,19.33,-7.57,28.3,1.007,2.01E-03
28.5,21.4,0,24.9,33.8,22.43,19.32,-7.57,28.3,1.007,2.12E-03
29.5,21.34,0,24.9,33.7,22.43,19.31,-7.57,28.3,1.007,2.22E-03
30.5,21.19,0,24.9,33.7,22.43,19.28,-7.57,28.4,1.008,2.33E-03
31.6,21.1,0,24.9,33.7,22.43,19.25,-7.57,28.4,1.008,2.43E-03
32.6,20.98,0,24.9,33.7,22.43,19.22,-7.57,28.4,1.008,2.53E-03
33.6,20.88,0,24.9,33.7,22.43,19.19,-7.57,28.4,1.008,2.63E-03
34.6,20.82,0,24.9,33.7,22.43,19.16,-7.57,28.4,1.009,2.74E-03
35.6,20.75,0,24.9,33.7,22.43,19.14,-7.57,28.4,1.009,2.84E-03
36.6,20.7,0,24.9,33.7,22.43,19.12,-7.57,28.4,1.009,2.94E-03
37.7,20.63,0,24.9,33.7,22.43,19.1,-7.57,28.4,1.009,3.04E-03
38.7,20.56,0,24.9,33.7,22.43,19.08,-7.57,28.4,1.009,3.14E-03
39.7,20.5,0,24.9,33.6,22.43,19.06,-7.57,28.4,1.01,3.24E-03
40.7,20.44,0,24.9,33.6,22.43,19.03,-7.57,28.4,1.01,3.34E-03
41.8,20.32,0,24.9,33.6,22.43,19.01,-7.57,28.4,1.01,3.44E-03
42.8,20.21,0,24.9,33.6,22.43,18.98,-7.57,28.4,1.01,3.54E-03
43.8,20.11,0,24.9,33.6,22.43,18.95,-7.57,28.4,1.011,3.64E-03
44.8,20.06,0,24.8,33.6,22.43,18.92,-7.57,28.4,1.011,3.74E-03
45.8,19.95,0,24.8,33.6,22.43,18.89,-7.57,28.4,1.011,3.84E-03
46.9,19.86,0,24.8,33.6,22.44,18.86,-7.57,28.4,1.011,3.93E-03
47.9,19.84,0,24.8,33.6,22.44,18.84,-7.57,28.4,1.011,4.03E-03
48.9,19.84,0,24.8,33.6,22.44,18.83,-7.57,28.4,1.012,4.13E-03
49.9,19.81,0,24.8,33.6,22.44,18.82,-7.57,28.4,1.012,4.22E-03
50.9,19.75,0,24.8,33.6,22.44,18.81,-7.57,28.4,1.012,4.32E-03
51.9,19.74,0,24.8,33.6,22.45,18.8,-7.57,28.4,1.012,4.42E-03
53,19.68,0,24.8,33.6,22.45,18.78,-7.57,28.4,1.012,4.51E-03
54,19.61,0,24.8,33.6,22.45,18.76,-7.57,28.4,1.013,4.61E-03
55,19.55,0,24.8,33.6,22.45,18.74,-7.57,28.4,1.013,4.71E-03
56,19.49,0,24.8,33.7,22.45,18.72,-7.57,28.4,1.013,4.80E-03
