Time [sec],Flux [g/(m2h)],Mark,AmbT [C],AmbRH [%],ProbeT [C],ProbeRH [%],CondenserT [C],HeatsinkT [C],Ice [mg],Qty [g/m2]
0,4.88,0,25.6,47.5,23.18,14.08,-7.57,29.3,0.974,2.38E-05
1,7.15,0,25.6,47.5,23.18,14.63,-7.57,29.3,0.974,5.88E-05
2,9.53,0,25.6,47.5,23.18,15.25,-7.57,29.3,0.974,1.05E-04
3.1,12.04,0,25.6,47.5,23.18,15.92,-7.57,29.3,0.974,1.65E-04
4.1,14.18,0,25.6,47.5,23.18,16.57,-7.57,29.3,0.974,2.34E-04
5.1,16.12,0,25.6,47.5,23.18,17.18,-7.57,29.3,0.974,3.13E-04
6.1,17.83,0,25.6,47.5,23.18,17.74,-7.57,29.3,0.975,4.00E-04
7.1,19.34,0,25.6,47.5,23.18,18.24,-7.57,29.3,0.975,4.95E-04
8.2,20.73,0,25.6,47.5,23.18,18.69,-7.57,29.3,0.975,5.97E-04
9.2,21.87,0,25.6,47.5,23.18,19.08,-7.57,29.3,0.975,7.04E-04
10.2,22.89,0,25.6,47.5,23.18,19.43,-7.57,29.3,0.975,8.16E-04
11.2,23.81,0,25.6,47.5,23.18,19.73,-7.57,29.3,0.976,9.32E-04
12.2,24.47,0,25.6,47.5,23.18,19.98,-7.57,29.3,0.976,1.05E-03
13.2,25.06,0,25.6,47.5,23.18,20.19,-7.57,29.3,0.976,1.17E-03
14.3,25.51,0,25.6,47.5,23.18,20.37,-7.57,29.3,0.977,1.30E-03
15.3,25.85,0,25.5,47.5,23.18,20.5,-7.57,29.3,0.977,1.43E-03
16.3,26.08,0,25.5,47.6,23.18,20.61,-7.57,29.3,0.977,1.55E-03
17.3,26.17,0,25.5,47.6,23.18,20.67,-7.57,29.3,0.977,1.69E-03
18.4,26.25,0,25.5,47.6,23.18,20.72,-7.57,29.3,0.978,1.82E-03
19.4,26.26,0,25.5,47.6,23.18,20.74,-7.57,29.3,0.978,1.94E-03
20.4,26.18,0,25.5,47.6,23.18,20.74,-7.57,29.3,0.978,2.07E-03
21.4,26.11,0,25.5,47.6,23.18,20.73,-7.57,29.3,0.979,2.20E-03
22.4,25.96,0,25.5,47.6,23.18,20.7,-7.57,29.3,0.979,2.33E-03
23.4,25.77,0,25.5,47.6,23.18,20.66,-7.57,29.3,0.979,2.45E-03
24.5,25.56,0,25.5,47.6,23.18,20.61,-7.57,29.3,0.979,2.58E-03
25.5,25.29,0,25.5,47.6,23.17,20.55,-7.57,29.3,0.98,2.70E-03
26.5,25.01,0,25.5,47.6,23.17,20.48,-7.57,29.3,0.98,2.82E-03
27.5,24.74,0,25.5,47.6,23.17,20.4,-7.57,29.3,0.98,2.94E-03
28.5,24.48,0,25.5,47.6,23.17,20.33,-7.57,29.3,0.98,3.06E-03
29.5,24.28,0,25.5,47.6,23.17,20.26,-7.57,29.3,0.981,3.18E-03
30.5,24.01,0,25.5,47.6,23.17,20.19,-7.57,29.3,0.981,3.30E-03
31.6,23.75,0,25.5,47.7,23.17,20.11,-7.57,29.3,0.981,3.41E-03
32.6,23.53,0,25.5,47.7,23.17,20.04,-7.57,29.3,0.981,3.53E-03
33.6,23.28,0,25.5,47.7,23.17,19.97,-7.57,29.3,0.982,3.64E-03
34.6,23.03,0,25.5,47.7,23.17,19.9,-7.57,29.3,0.982,3.76E-03
35.6,22.77,0,25.5,47.7,23.17,19.82,-7.57,29.3,0.982,3.87E-03
36.6,22.55,0,25.5,47.7,23.17,19.75,-7.57,29.3,0.982,3.98E-03
37.7,22.32,0,25.5,47.7,23.17,19.69,-7.57,29.4,0.983,4.09E-03
38.7,22.07,0,25.5,47.7,23.17,19.61,-7.57,29.4,0.983,4.19E-03
39.7,21.83,0,25.5,47.7,23.17,19.54,-7.57,29.4,0.983,4.30E-03
40.7,21.63,0,25.4,47.7,23.17,19.48,-7.57,29.4,0.983,4.41E-03
41.7,21.4,0,25.4,47.7,23.17,19.41,-7.57,29.4,0.984,4.51E-03
42.7,21.17,0,25.4,47.7,23.17,19.35,-7.57,29.4,0.984,4.61E-03
43.8,20.96,0,25.4,47.7,23.17,19.28,-7.57,29.4,0.984,4.72E-03
44.8,20.76,0,25.4,47.7,23.17,19.22,-7.57,29.4,0.984,4.82E-03
45.8,20.55,0,25.4,47.7,23.17,19.16,-7.57,29.4,0.985,4.92E-03
46.8,20.34,0,25.4,47.7,23.17,19.1,-7.57,29.4,0.985,5.02E-03
47.8,20.13,0,25.4,47.8,23.17,19.03,-7.57,29.4,0.985,5.12E-03
48.8,19.97,0,25.4,47.8,23.18,18.98,-7.57,29.4,0.985,5.22E-03
49.9,19.74,0,25.4,47.8,23.18,18.92,-7.57,29.4,0.985,5.31E-03
50.9,19.49,0,25.4,47.8,23.18,18.85,-7.57,29.4,0.986,5.41E-03
51.9,19.28,0,25.4,47.8,23.18,18.79,-7.57,29.4,0.986,5.50E-03
52.9,19.1,0,25.4,47.8,23.18,18.72,-7.57,29.4,0.986,5.60E-03
54,18.89,0,25.4,47.8,23.18,18.66,-7.57,29.4,0.986,5.69E-03
55,18.64,0,25.4,47.8,23.18,18.6,-7.57,29.4,0.986,5.78E-03
56,18.45,0,25.4,47.8,23.18,18.54,-7.57,29.4,0.987,5.87E-03
57,18.31,0,25.4,47.8,23.18,18.49,-7.57,29.4,0.987,5.96E-03
58,18.14,0,25.4,47.8,23.18,18.43,-7.57,29.4,0.987,6.05E-03
59,17.96,0,25.4,47.8,23.18,18.38,-7.57,29.4,0.987,6.14E-03
60,17.82,0,25.4,47.8,23.18,18.34,-7.57,29.4,0.987,6.22E-03
61.1,17.68,0,25.4,47.8,23.18,18.29,-7.57,29.4,0.988,6.31E-03
62.1,17.56,0,25.4,47.8,23.18,18.25,-7.57,29.4,0.988,6.40E-03
63.1,17.4,0,25.4,47.8,23.19,18.21,-7.57,29.4,0.988,6.48E-03
