Time [sec],Flux [g/(m2h)],Mark,AmbT [C],AmbRH [%],ProbeT [C],ProbeRH [%],CondenserT [C],HeatsinkT [C],Ice [mg],Qty [g/m2]
0,0.21,0,24.9,32.3,22.64,13.33,-7.57,28.6,0.246,1.01E-06
1,0.5,0,24.9,32.3,22.64,13.37,-7.57,28.6,0.246,3.44E-06
2,1.11,0,24.9,32.3,22.65,13.48,-7.57,28.6,0.246,8.88E-06
3,2.01,0,24.9,32.3,22.64,13.67,-7.57,28.6,0.246,1.87E-05
4.1,3.37,0,24.9,32.3,22.64,13.97,-7.57,28.6,0.246,3.52E-05
5.1,5.2,0,24.9,32.3,22.64,14.4,-7.57,28.6,0.246,6.05E-05
6.1,7.36,0,24.9,32.3,22.64,14.94,-7.57,28.6,0.247,9.65E-05
7.1,9.86,0,24.9,32.3,22.64,15.59,-7.57,28.6,0.247,1.45E-04
8.1,12.4,0,24.9,32.3,22.64,16.29,-7.57,28.6,0.247,2.06E-04
9.2,15,0,24.9,32.3,22.64,17.04,-7.57,28.6,0.247,2.79E-04
10.2,17.44,0,24.9,32.3,22.64,17.78,-7.57,28.6,0.247,3.65E-04
11.2,19.69,0,24.9,32.4,22.64,18.49,-7.57,28.6,0.247,4.61E-04
12.2,21.84,0,24.9,32.4,22.64,19.16,-7.57,28.6,0.248,5.68E-04
13.2,23.68,0,24.9,32.4,22.64,19.78,-7.57,28.6,0.248,6.83E-04
14.2,25.28,0,24.9,32.4,22.64,20.33,-7.57,28.6,0.248,8.07E-04
15.3,26.7,0,24.9,32.4,22.64,20.81,-7.57,28.6,0.248,9.37E-04
16.3,27.89,0,24.9,32.4,22.65,21.24,-7.57,28.6,0.249,1.07E-03
17.3,28.97,0,24.9,32.4,22.64,21.61,-7.57,28.7,0.249,1.22E-03
18.3,29.84,0,24.9,32.5,22.64,21.93,-7.57,28.7,0.249,1.36E-03
19.3,30.59,0,24.9,32.5,22.64,22.2,-7.57,28.7,0.25,1.51E-03
20.3,31.2,0,24.9,32.5,22.64,22.43,-7.57,28.7,0.25,1.66E-03
21.3,31.69,0,24.9,32.5,22.64,22.62,-7.57,28.7,0.25,1.82E-03
22.4,32.08,0,24.9,32.5,22.64,22.77,-7.57,28.7,0.251,1.97E-03
23.4,32.31,0,25,32.5,22.64,22.89,-7.57,28.7,0.251,2.13E-03
24.4,32.48,0,25,32.6,22.64,22.97,-7.57,28.7,0.251,2.29E-03
25.4,32.6,0,25,32.6,22.64,23.03,-7.57,28.7,0.252,2.45E-03
26.4,32.69,0,25,32.6,22.64,23.07,-7.57,28.7,0.252,2.61E-03
27.5,32.72,0,25,32.6,22.64,23.09,-7.57,28.7,0.252,2.77E-03
28.5,32.67,0,25,32.6,22.64,23.1,-7.57,28.7,0.253,2.93E-03
29.5,32.63,0,25,32.6,22.65,23.09,-7.57,28.7,0.253,3.09E-03
30.5,32.56,0,25,32.6,22.65,23.08,-7.57,28.7,0.254,3.25E-03
31.5,32.43,0,25,32.6,22.65,23.05,-7.57,28.7,0.254,3.41E-03
32.5,32.28,0,25,32.6,22.65,23.02,-7.57,28.7,0.254,3.57E-03
33.6,32.16,0,25,32.6,22.65,22.98,-7.57,28.7,0.255,3.73E-03
34.6,32.01,0,25,32.6,22.65,22.94,-7.57,28.7,0.255,3.88E-03
35.6,31.85,0,25,32.6,22.65,22.9,-7.57,28.7,0.255,4.04E-03
36.6,31.68,0,25,32.6,22.65,22.84,-7.57,28.7,0.256,4.19E-03
37.6,31.5,0,25,32.6,22.65,22.79,-7.57,28.7,0.256,4.35E-03
38.6,31.35,0,25,32.5,22.66,22.74,-7.57,28.7,0.256,4.50E-03
39.7,31.1,0,25,32.5,22.66,22.68,-7.57,28.7,0.257,4.65E-03
40.7,30.91,0,25,32.5,22.66,22.62,-7.57,28.7,0.257,4.81E-03
41.7,30.69,0,25,32.5,22.66,22.55,-7.57,28.7,0.257,4.96E-03
42.7,30.46,0,25,32.5,22.66,22.49,-7.57,28.8,0.258,5.11E-03
43.8,30.19,0,25,32.5,22.65,22.42,-7.57,28.8,0.258,5.25E-03
44.8,29.89,0,25,32.5,22.65,22.34,-7.57,28.8,0.258,5.40E-03
45.8,29.61,0,25,32.5,22.66,22.25,-7.57,28.8,0.259,5.54E-03
46.8,29.36,0,25,32.5,22.66,22.17,-7.57,28.8,0.259,5.69E-03
47.8,29.1,0,24.9,32.5,22.66,22.09,-7.57,28.8,0.259,5.83E-03
48.8,28.83,0,24.9,32.5,22.66,22.01,-7.57,28.8,0.26,5.97E-03
49.8,28.62,0,24.9,32.5,22.66,21.93,-7.57,28.8,0.26,6.11E-03
50.9,28.4,0,24.9,32.5,22.67,21.86,-7.57,28.8,0.26,6.25E-03
51.9,28.2,0,24.9,32.5,22.67,21.79,-7.57,28.8,0.261,6.39E-03
52.9,27.96,0,24.9,32.5,22.67,21.72,-7.57,28.8,0.261,6.53E-03
53.9,27.75,0,24.9,32.5,22.67,21.65,-7.57,28.8,0.261,6.66E-03
55,27.51,0,24.9,32.5,22.68,21.58,-7.57,28.8,0.261,6.80E-03
56,27.27,0,24.9,32.6,22.68,21.51,-7.57,28.8,0.262,6.93E-03
57,27.01,0,24.9,32.6,22.68,21.43,-7.57,28.8,0.262,7.06E-03
58,26.83,0,24.9,32.6,22.68,21.36,-7.57,28.8,0.262,7.20E-03
59,26.61,0,24.8,32.6,22.68,21.3,-7.57,28.8,0.263,7.33E-03
60.1,26.4,0,24.8,32.6,22.68,21.23,-7.57,28.8,0.263,7.46E-03
61.1,26.24,0,24.8,32.6,22.69,21.17,-7.57,28.8,0.263,7.59E-03
