Time [sec],Flux [g/(m2h)],Mark,AmbT [C],AmbRH [%],ProbeT [C],ProbeRH [%],CondenserT [C],HeatsinkT [C],Ice [mg],Qty [g/m2]
0,0.27,0,25.2,32.2,22.6,13.57,-7.57,28.5,0.107,1.31E-06
1,0.58,0,25.2,32.2,22.6,13.62,-7.57,28.5,0.107,4.13E-06
2,1.07,0,25.2,32.2,22.6,13.72,-7.57,28.5,0.107,9.37E-06
3.1,1.78,0,25.2,32.2,22.6,13.88,-7.57,28.5,0.107,1.82E-05
4.1,2.71,0,25.2,32.2,22.6,14.1,-7.57,28.5,0.107,3.17E-05
5.1,3.84,0,25.2,32.2,22.6,14.38,-7.57,28.5,0.107,5.04E-05
6.1,5.04,0,25.2,32.2,22.6,14.7,-7.57,28.5,0.107,7.54E-05
7.2,6.27,0,25.2,32.2,22.6,15.04,-7.57,28.5,0.107,1.06E-04
8.2,7.38,0,25.2,32.2,22.6,15.38,-7.57,28.5,0.107,1.42E-04
9.2,8.37,0,25.2,32.2,22.6,15.7,-7.57,28.5,0.107,1.84E-04
10.2,9.29,0,25.2,32.2,22.6,16,-7.57,28.5,0.107,2.30E-04
11.3,10.01,0,25.2,32.2,22.6,16.26,-7.57,28.5,0.107,2.79E-04
12.3,10.66,0,25.2,32.2,22.6,16.49,-7.57,28.5,0.108,3.31E-04
13.3,11.17,0,25.2,32.2,22.59,16.68,-7.57,28.5,0.108,3.85E-04
14.3,11.58,0,25.2,32.2,22.59,16.84,-7.57,28.5,0.108,4.42E-04
15.3,11.94,0,25.2,32.2,22.59,16.97,-7.57,28.5,0.108,5.00E-04
16.3,12.13,0,25.2,32.2,22.59,17.07,-7.57,28.5,0.108,5.59E-04
17.3,12.31,0,25.2,32.2,22.59,17.15,-7.57,28.5,0.108,6.20E-04
18.4,12.39,0,25.2,32.2,22.59,17.2,-7.57,28.5,0.108,6.80E-04
19.4,12.44,0,25.2,32.2,22.59,17.23,-7.57,28.5,0.108,7.41E-04
20.4,12.43,0,25.2,32.2,22.59,17.24,-7.57,28.5,0.109,8.03E-04
21.4,12.37,0,25.2,32.1,22.59,17.24,-7.57,28.5,0.109,8.63E-04
22.4,12.34,0,25.2,32.1,22.59,17.24,-7.57,28.5,0.109,9.23E-04
23.5,12.29,0,25.2,32.1,22.59,17.23,-7.57,28.5,0.109,9.84E-04
24.5,12.18,0,25.2,32.1,22.59,17.21,-7.57,28.5,0.109,1.04E-03
25.5,12.09,0,25.2,32.1,22.59,17.18,-7.57,28.5,0.109,1.10E-03
26.5,11.99,0,25.2,32.1,22.59,17.16,-7.57,28.5,0.109,1.16E-03
27.5,11.91,0,25.2,32.1,22.59,17.13,-7.57,28.5,0.11,1.22E-03
28.5,11.76,0,25.2,32.1,22.59,17.1,-7.57,28.5,0.11,1.28E-03
29.6,11.64,0,25.2,32.1,22.59,17.06,-7.57,28.5,0.11,1.33E-03
30.6,11.53,0,25.2,32.1,22.59,17.03,-7.57,28.5,0.11,1.39E-03
31.6,11.43,0,25.2,32.1,22.58,17,-7.57,28.5,0.11,1.45E-03
32.6,11.37,0,25.2,32.1,22.58,16.97,-7.57,28.5,0.11,1.50E-03
33.6,11.22,0,25.2,32.1,22.58,16.93,-7.57,28.5,0.11,1.56E-03
34.7,11.1,0,25.2,32.1,22.58,16.9,-7.57,28.5,0.11,1.61E-03
35.7,10.98,0,25.2,32.1,22.58,16.86,-7.57,28.5,0.11,1.67E-03
36.7,10.89,0,25.2,32.1,22.58,16.83,-7.57,28.5,0.111,1.72E-03
37.7,10.75,0,25.2,32.1,22.58,16.8,-7.57,28.6,0.111,1.77E-03
38.8,10.59,0,25.2,32.1,22.58,16.76,-7.57,28.6,0.111,1.82E-03
39.8,10.55,0,25.2,32.1,22.58,16.73,-7.57,28.6,0.111,1.88E-03
40.8,10.52,0,25.2,32.1,22.57,16.72,-7.57,28.6,0.111,1.93E-03
41.8,10.4,0,25.2,32.1,22.57,16.69,-7.57,28.6,0.111,1.98E-03
42.8,10.36,0,25.2,32.1,22.57,16.67,-7.57,28.6,0.111,2.03E-03
43.9,10.28,0,25.2,32.1,22.57,16.65,-7.57,28.6,0.111,2.08E-03
44.9,10.24,0,25.2,32.1,22.57,16.63,-7.57,28.6,0.112,2.13E-03
45.9,10.22,0,25.2,32.1,22.57,16.62,-7.57,28.6,0.112,2.18E-03
