Time [sec],Flux [g/(m2h)],Mark,AmbT [C],AmbRH [%],ProbeT [C],ProbeRH [%],CondenserT [C],HeatsinkT [C],Ice [mg],Qty [g/m2]
0,3.46,0,25.6,33.7,23.04,13.97,-7.57,29,0.19,1.72E-05
1,4.4,0,25.6,33.8,23.05,14.18,-7.57,29,0.19,3.86E-05
2,5.48,0,25.6,33.8,23.05,14.44,-7.57,29,0.19,6.54E-05
3,6.68,0,25.6,33.8,23.04,14.75,-7.57,29,0.19,9.81E-05
4.1,7.76,0,25.6,33.8,23.04,15.07,-7.57,29,0.19,1.36E-04
5.1,8.79,0,25.6,33.8,23.04,15.38,-7.57,29,0.19,1.79E-04
6.1,9.67,0,25.6,33.9,23.04,15.66,-7.57,29,0.19,2.26E-04
7.1,10.35,0,25.6,33.9,23.04,15.91,-7.57,29,0.19,2.77E-04
8.1,11,0,25.5,33.9,23.03,16.13,-7.57,29,0.191,3.31E-04
9.1,11.54,0,25.5,33.9,23.03,16.31,-7.57,29,0.191,3.87E-04
10.2,12,0,25.5,33.9,23.03,16.48,-7.57,29,0.191,4.46E-04
11.2,12.38,0,25.5,33.9,23.03,16.61,-7.57,29,0.191,5.06E-04
12.2,12.75,0,25.5,34,23.03,16.74,-7.57,29,0.191,5.68E-04
13.2,13.02,0,25.5,34,23.03,16.84,-7.57,29,0.191,6.33E-04
14.2,13.19,0,25.5,34,23.03,16.91,-7.57,29,0.191,6.97E-04
15.3,13.28,0,25.5,34,23.03,16.96,-7.57,29,0.192,7.62E-04
16.3,13.36,0,25.5,34,23.03,17,-7.57,29,0.192,8.28E-04
17.3,13.41,0,25.5,34.1,23.03,17.03,-7.57,29,0.192,8.93E-04
18.3,13.36,0,25.5,34.1,23.03,17.03,-7.57,29,0.192,9.58E-04
19.3,13.29,0,25.5,34.1,23.03,17.03,-7.57,29,0.192,1.02E-03
20.3,13.2,0,25.5,34.1,23.03,17.01,-7.57,29,0.192,1.09E-03
21.4,13.14,0,25.5,34.1,23.03,17,-7.57,29,0.192,1.15E-03
22.4,13.02,0,25.5,34.1,23.03,16.97,-7.57,29,0.193,1.22E-03
23.4,12.81,0,25.5,34.1,23.02,16.93,-7.57,29,0.193,1.28E-03
24.4,12.67,0,25.5,34.1,23.02,16.89,-7.57,29,0.193,1.34E-03
25.4,12.54,0,25.5,34.1,23.02,16.85,-7.57,29,0.193,1.40E-03
26.4,12.36,0,25.5,34.1,23.02,16.8,-7.57,29,0.193,1.46E-03
27.5,12.19,0,25.5,34.1,23.02,16.76,-7.57,29,0.193,1.52E-03
28.5,12.03,0,25.5,34.1,23.02,16.71,-7.57,29,0.193,1.58E-03
29.5,11.92,0,25.5,34.1,23.02,16.67,-7.57,29,0.194,1.64E-03
30.5,11.77,0,25.5,34.1,23.02,16.63,-7.57,29,0.194,1.70E-03
31.5,11.64,0,25.5,34.1,23.02,16.59,-7.57,29,0.194,1.75E-03
32.5,11.55,0,25.5,34.1,23.02,16.55,-7.57,29,0.194,1.81E-03
33.5,11.36,0,25.5,34.1,23.02,16.51,-7.57,29,0.194,1.87E-03
34.6,11.25,0,25.5,34.1,23.02,16.47,-7.57,29,0.194,1.92E-03
35.6,11.11,0,25.5,34.1,23.02,16.43,-7.57,29,0.194,1.97E-03
36.6,10.97,0,25.5,34.1,23.02,16.38,-7.57,29,0.194,2.03E-03
37.6,10.85,0,25.5,34.1,23.02,16.35,-7.57,29,0.195,2.08E-03
38.6,10.73,0,25.5,34.1,23.02,16.31,-7.57,29,0.195,2.13E-03
39.6,10.67,0,25.5,34,23.02,16.29,-7.57,29,0.195,2.19E-03
40.7,10.58,0,25.5,34,23.01,16.26,-7.57,29,0.195,2.24E-03
