Time [sec],Flux [g/(m2h)],Mark,AmbT [C],AmbRH [%],ProbeT [C],ProbeRH [%],CondenserT [C],HeatsinkT [C],Ice [mg],Qty [g/m2]
0,1.04,0,25.5,34.4,23.51,12.91,-7.57,29.5,0.838,5.18E-06
1,1.36,0,25.5,34.4,23.5,12.96,-7.57,29.5,0.838,1.18E-05
2,1.93,0,25.5,34.4,23.5,13.07,-7.57,29.5,0.838,2.12E-05
3,2.68,0,25.5,34.4,23.5,13.24,-7.57,29.5,0.838,3.43E-05
4.1,3.73,0,25.5,34.4,23.5,13.47,-7.57,29.5,0.838,5.26E-05
5.1,5.01,0,25.5,34.4,23.5,13.77,-7.57,29.5,0.838,7.70E-05
6.1,6.39,0,25.5,34.4,23.49,14.12,-7.57,29.5,0.838,1.08E-04
7.1,7.83,0,25.5,34.4,23.49,14.5,-7.57,29.5,0.839,1.47E-04
8.1,9.27,0,25.5,34.4,23.49,14.9,-7.57,29.5,0.839,1.93E-04
9.2,10.64,0,25.5,34.4,23.49,15.3,-7.57,29.5,0.839,2.45E-04
10.2,11.93,0,25.5,34.4,23.49,15.68,-7.57,29.5,0.839,3.05E-04
11.2,13.1,0,25.5,34.4,23.49,16.04,-7.57,29.5,0.839,3.69E-04
12.2,14.19,0,25.5,34.4,23.49,16.38,-7.57,29.5,0.839,4.38E-04
13.3,15.09,0,25.5,34.4,23.48,16.68,-7.57,29.5,0.839,5.12E-04
14.3,15.88,0,25.5,34.4,23.48,16.94,-7.57,29.5,0.84,5.89E-04
15.3,16.58,0,25.5,34.5,23.48,17.18,-7.57,29.5,0.84,6.70E-04
16.3,17.15,0,25.5,34.5,23.48,17.38,-7.57,29.5,0.84,7.54E-04
17.3,17.65,0,25.5,34.5,23.47,17.55,-7.57,29.5,0.84,8.40E-04
18.3,18.06,0,25.5,34.5,23.47,17.7,-7.57,29.5,0.84,9.28E-04
19.3,18.39,0,25.5,34.5,23.47,17.82,-7.57,29.5,0.84,1.02E-03
20.4,18.69,0,25.5,34.5,23.47,17.93,-7.57,29.5,0.841,1.11E-03
21.4,18.91,0,25.5,34.5,23.46,18.01,-7.57,29.5,0.841,1.20E-03
22.4,19.14,0,25.5,34.5,23.46,18.09,-7.57,29.5,0.841,1.30E-03
23.4,19.28,0,25.5,34.5,23.46,18.15,-7.57,29.5,0.841,1.39E-03
24.5,19.46,0,25.5,34.5,23.45,18.21,-7.57,29.5,0.842,1.49E-03
25.5,19.58,0,25.5,34.5,23.45,18.25,-7.57,29.5,0.842,1.58E-03
26.5,19.67,0,25.5,34.5,23.45,18.29,-7.57,29.5,0.842,1.68E-03
27.5,19.76,0,25.5,34.5,23.45,18.32,-7.57,29.5,0.842,1.78E-03
