Time [sec],Flux [g/(m2h)],Mark,AmbT [C],AmbRH [%],ProbeT [C],ProbeRH [%],CondenserT [C],HeatsinkT [C],Ice [mg],Qty [g/m2]
0,0.61,0,24.7,35.8,22.36,12.99,-7.57,28.1,0.139,2.96E-06
1,0.98,0,24.7,35.8,22.36,13.06,-7.57,28.1,0.139,7.76E-06
2,1.58,0,24.7,35.8,22.36,13.19,-7.57,28.1,0.139,1.55E-05
3,2.38,0,24.7,35.8,22.36,13.38,-7.57,28.1,0.139,2.71E-05
4.1,3.53,0,24.7,35.7,22.36,13.65,-7.57,28.1,0.139,4.43E-05
5.1,4.94,0,24.7,35.7,22.36,14,-7.57,28.1,0.139,6.84E-05
6.1,6.47,0,24.8,35.7,22.36,14.41,-7.57,28.1,0.139,1.00E-04
7.1,8.11,0,24.8,35.7,22.35,14.87,-7.57,28.1,0.139,1.40E-04
8.1,9.64,0,24.8,35.7,22.35,15.33,-7.57,28.1,0.139,1.87E-04
9.2,11.12,0,24.8,35.6,22.35,15.79,-7.57,28.1,0.139,2.42E-04
10.2,12.24,0,24.8,35.6,22.35,16.19,-7.57,28.1,0.139,3.01E-04
11.2,12.97,0,24.8,35.6,22.35,16.51,-7.57,28.1,0.14,3.65E-04
12.2,13.41,0,24.8,35.6,22.35,16.73,-7.57,28.1,0.14,4.30E-04
13.2,13.54,0,24.8,35.6,22.35,16.86,-7.57,28.1,0.14,4.96E-04
14.2,13.66,0,24.8,35.6,22.34,16.95,-7.57,28.1,0.14,5.63E-04
15.3,13.8,0,24.8,35.5,22.34,17.02,-7.57,28.1,0.14,6.31E-04
16.3,14.1,0,24.8,35.5,22.34,17.1,-7.57,28.1,0.14,7.00E-04
17.3,14.67,0,24.8,35.5,22.34,17.22,-7.57,28.1,0.141,7.71E-04
18.3,15.47,0,24.8,35.5,22.34,17.41,-7.57,28.1,0.141,8.47E-04
19.3,16.35,0,24.8,35.5,22.34,17.64,-7.57,28.1,0.141,9.27E-04
20.3,17.3,0,24.8,35.6,22.34,17.9,-7.57,28.1,0.141,1.01E-03
21.3,18.17,0,24.8,35.6,22.33,18.17,-7.57,28.1,0.141,1.10E-03
22.4,18.94,0,24.8,35.6,22.33,18.41,-7.57,28.1,0.141,1.19E-03
23.4,19.57,0,24.7,35.6,22.33,18.64,-7.57,28.1,0.142,1.29E-03
24.4,20.06,0,24.7,35.6,22.33,18.83,-7.57,28.1,0.142,1.39E-03
25.4,20.5,0,24.7,35.6,22.33,18.99,-7.57,28.1,0.142,1.49E-03
26.5,20.8,0,24.7,35.6,22.33,19.12,-7.57,28.1,0.142,1.59E-03
27.5,20.95,0,24.7,35.6,22.33,19.2,-7.57,28.1,0.143,1.69E-03
28.5,21.09,0,24.7,35.6,22.33,19.27,-7.57,28.1,0.143,1.80E-03
29.5,21.11,0,24.7,35.6,22.33,19.3,-7.57,28.1,0.143,1.90E-03
30.5,21.08,0,24.7,35.6,22.32,19.32,-7.57,28.1,0.143,2.00E-03
31.5,20.99,0,24.7,35.7,22.32,19.31,-7.57,28.1,0.143,2.11E-03
32.5,20.88,0,24.7,35.7,22.32,19.29,-7.57,28.1,0.144,2.21E-03
33.6,20.73,0,24.7,35.7,22.32,19.26,-7.57,28.1,0.144,2.31E-03
34.6,20.58,0,24.7,35.7,22.32,19.22,-7.57,28.1,0.144,2.41E-03
35.6,20.4,0,24.7,35.7,22.32,19.18,-7.57,28.1,0.144,2.51E-03
36.6,20.2,0,24.7,35.8,22.32,19.12,-7.57,28.1,0.145,2.61E-03
37.6,19.98,0,24.6,35.8,22.32,19.06,-7.57,28.1,0.145,2.71E-03
38.7,19.7,0,24.6,35.8,22.32,18.99,-7.57,28.1,0.145,2.80E-03
39.7,19.44,0,24.6,35.8,22.32,18.91,-7.57,28.1,0.145,2.90E-03
40.7,19.13,0,24.6,35.8,22.32,18.83,-7.57,28.1,0.145,2.99E-03
41.7,18.84,0,24.6,35.8,22.32,18.74,-7.57,28.1,0.146,3.08E-03
42.7,18.52,0,24.6,35.9,22.32,18.65,-7.57,28.1,0.146,3.18E-03
43.8,18.19,0,24.6,35.9,22.32,18.55,-7.57,28.1,0.146,3.26E-03
44.8,17.88,0,24.6,35.9,22.32,18.45,-7.57,28.1,0.146,3.35E-03
45.8,17.57,0,24.6,35.9,22.32,18.36,-7.57,28.1,0.146,3.44E-03
46.8,17.24,0,24.6,36,22.31,18.26,-7.57,28.1,0.147,3.52E-03
47.8,16.95,0,24.6,36,22.31,18.17,-7.57,28.1,0.147,3.60E-03
48.8,16.66,0,24.6,36,22.31,18.08,-7.57,28.1,0.147,3.69E-03
49.9,16.38,0,24.6,36,22.31,17.99,-7.57,28.1,0.147,3.77E-03
50.9,16.11,0,24.5,36,22.31,17.91,-7.57,28.1,0.147,3.85E-03
51.9,15.82,0,24.5,36,22.31,17.82,-7.57,28.1,0.148,3.92E-03
52.9,15.54,0,24.5,36.1,22.31,17.73,-7.57,28.1,0.148,4.00E-03
53.9,15.26,0,24.5,36.1,22.31,17.65,-7.57,28.1,0.148,4.07E-03
55,15.01,0,24.5,36.1,22.31,17.56,-7.57,28.1,0.148,4.15E-03
56,14.72,0,24.5,36.1,22.31,17.48,-7.57,28.1,0.148,4.22E-03
57,14.47,0,24.5,36.1,22.31,17.4,-7.57,28.1,0.148,4.29E-03
58,14.25,0,24.5,36.1,22.31,17.32,-7.57,28.1,0.149,4.36E-03
59,14.04,0,24.5,36.2,22.31,17.25,-7.57,28.1,0.149,4.43E-03
60,13.78,0,24.5,36.2,22.32,17.17,-7.57,28.1,0.149,4.50E-03
61,13.55,0,24.5,36.2,22.31,17.1,-7.57,28.1,0.149,4.56E-03
62.1,13.32,0,24.5,36.2,22.31,17.03,-7.57,28.1,0.149,4.63E-03
63.1,13.09,0,24.5,36.2,22.31,16.96,-7.57,28.2,0.149,4.69E-03
64.1,12.87,0,24.4,36.2,22.32,16.89,-7.57,28.2,0.149,4.75E-03
