Time [sec],Flux [g/(m2h)],Mark,AmbT [C],AmbRH [%],ProbeT [C],ProbeRH [%],CondenserT [C],HeatsinkT [C],Ice [mg],Qty [g/m2]
0,6,0,25.3,47.2,23.09,14.46,-7.57,29.1,0.708,2.93E-05
1,8.14,0,25.3,47.2,23.09,15,-7.57,29.1,0.708,6.91E-05
2,10.24,0,25.3,47.2,23.09,15.58,-7.57,29.1,0.709,1.20E-04
3.1,12.25,0,25.3,47.2,23.09,16.17,-7.57,29.1,0.709,1.80E-04
4.1,14.07,0,25.3,47.2,23.09,16.73,-7.57,29.1,0.709,2.50E-04
5.1,15.64,0,25.3,47.2,23.09,17.24,-7.57,29.1,0.709,3.26E-04
6.1,17.26,0,25.3,47.2,23.09,17.73,-7.57,29.1,0.709,4.10E-04
7.1,18.6,0,25.3,47.2,23.09,18.18,-7.57,29.1,0.709,5.01E-04
8.2,19.92,0,25.3,47.2,23.08,18.59,-7.57,29.1,0.71,5.99E-04
9.2,21.14,0,25.3,47.2,23.08,18.98,-7.57,29.1,0.71,7.02E-04
10.2,22.18,0,25.3,47.2,23.08,19.32,-7.57,29.1,0.71,8.10E-04
11.2,23.26,0,25.3,47.2,23.09,19.66,-7.57,29.1,0.71,9.24E-04
12.2,24.13,0,25.3,47.2,23.08,19.95,-7.57,29.1,0.711,1.04E-03
13.3,24.91,0,25.3,47.2,23.08,20.21,-7.57,29.1,0.711,1.17E-03
14.3,25.61,0,25.3,47.2,23.08,20.45,-7.57,29.1,0.711,1.29E-03
15.3,26.15,0,25.3,47.2,23.08,20.65,-7.57,29.1,0.711,1.42E-03
16.3,26.65,0,25.3,47.2,23.08,20.82,-7.57,29.1,0.712,1.55E-03
17.3,27.02,0,25.3,47.2,23.08,20.96,-7.57,29.1,0.712,1.68E-03
18.3,27.22,0,25.3,47.2,23.08,21.06,-7.57,29.1,0.712,1.81E-03
19.3,27.51,0,25.3,47.2,23.08,21.16,-7.57,29.1,0.713,1.95E-03
20.4,27.6,0,25.3,47.2,23.07,21.22,-7.57,29.1,0.713,2.08E-03
21.4,27.74,0,25.3,47.2,23.07,21.27,-7.57,29.1,0.713,2.22E-03
22.4,27.76,0,25.3,47.2,23.07,21.3,-7.57,29.1,0.714,2.35E-03
23.4,27.72,0,25.2,47.2,23.07,21.31,-7.57,29.1,0.714,2.49E-03
24.4,27.76,0,25.2,47.2,23.07,21.32,-7.57,29.1,0.714,2.62E-03
25.4,27.64,0,25.2,47.2,23.07,21.31,-7.57,29.1,0.714,2.76E-03
26.5,27.61,0,25.2,47.2,23.07,21.3,-7.57,29.1,0.715,2.89E-03
27.5,27.48,0,25.2,47.2,23.07,21.28,-7.57,29.1,0.715,3.03E-03
28.5,27.41,0,25.2,47.2,23.06,21.26,-7.57,29.1,0.715,3.16E-03
29.5,27.35,0,25.2,47.2,23.06,21.24,-7.57,29.1,0.716,3.30E-03
30.5,27.21,0,25.2,47.2,23.06,21.21,-7.57,29.1,0.716,3.43E-03
31.5,27.11,0,25.2,47.2,23.06,21.18,-7.57,29.1,0.716,3.56E-03
32.5,26.93,0,25.2,47.2,23.06,21.14,-7.57,29.1,0.717,3.69E-03
33.6,26.81,0,25.2,47.2,23.07,21.09,-7.57,29.1,0.717,3.82E-03
34.6,26.66,0,25.2,47.2,23.07,21.05,-7.57,29.1,0.717,3.95E-03
35.6,26.48,0,25.2,47.2,23.06,21.01,-7.57,29.1,0.717,4.08E-03
36.6,26.36,0,25.2,47.2,23.06,20.97,-7.57,29.1,0.718,4.21E-03
37.6,26.19,0,25.2,47.2,23.06,20.92,-7.57,29.1,0.718,4.34E-03
38.6,26.05,0,25.2,47.2,23.06,20.88,-7.57,29.1,0.718,4.47E-03
39.7,25.92,0,25.2,47.2,23.06,20.84,-7.57,29.1,0.719,4.59E-03
40.7,25.8,0,25.2,47.2,23.06,20.8,-7.57,29.2,0.719,4.72E-03
41.7,25.7,0,25.2,47.2,23.07,20.76,-7.57,29.2,0.719,4.85E-03
42.7,25.61,0,25.2,47.2,23.07,20.73,-7.57,29.2,0.719,4.97E-03
43.7,25.49,0,25.2,47.2,23.06,20.7,-7.57,29.2,0.72,5.10E-03
44.7,25.39,0,25.2,47.2,23.06,20.67,-7.57,29.2,0.72,5.22E-03
45.8,25.23,0,25.2,47.2,23.06,20.64,-7.57,29.2,0.72,5.34E-03
46.8,25.1,0,25.2,47.2,23.06,20.6,-7.57,29.2,0.72,5.47E-03
47.8,24.98,0,25.2,47.2,23.06,20.57,-7.57,29.2,0.721,5.59E-03
48.8,24.8,0,25.2,47.2,23.05,20.53,-7.57,29.2,0.721,5.71E-03
49.8,24.75,0,25.2,47.2,23.05,20.49,-7.57,29.2,0.721,5.83E-03
50.8,24.68,0,25.2,47.2,23.05,20.47,-7.57,29.2,0.722,5.95E-03
51.9,24.62,0,25.2,47.2,23.05,20.45,-7.57,29.2,0.722,6.07E-03
52.9,24.55,0,25.2,47.2,23.05,20.43,-7.57,29.2,0.722,6.19E-03
53.9,24.51,0,25.2,47.2,23.05,20.41,-7.57,29.2,0.722,6.31E-03
54.9,24.5,0,25.2,47.2,23.05,20.4,-7.57,29.2,0.723,6.43E-03
