Time [sec],Flux [g/(m2h)],Mark,AmbT [C],AmbRH [%],ProbeT [C],ProbeRH [%],CondenserT [C],HeatsinkT [C],Ice [mg],Qty [g/m2]
0,2.29,0,25,36.9,22.65,13.29,-7.57,28.8,0.388,1.12E-05
1,2.77,0,25,36.9,22.65,13.37,-7.57,28.8,0.388,2.47E-05
2,3.49,0,25,36.9,22.65,13.53,-7.57,28.8,0.388,4.18E-05
3,4.64,0,25,36.9,22.65,13.78,-7.57,28.8,0.388,6.45E-05
4.1,6.09,0,25,36.9,22.65,14.12,-7.57,28.8,0.388,9.42E-05
5.1,7.83,0,25,36.9,22.65,14.55,-7.57,28.8,0.388,1.32E-04
6.1,9.7,0,25,36.9,22.65,15.05,-7.57,28.8,0.388,1.80E-04
7.1,11.61,0,25,36.9,22.65,15.59,-7.57,28.8,0.388,2.37E-04
8.1,13.48,0,25,36.9,22.65,16.14,-7.57,28.8,0.389,3.02E-04
9.1,15.19,0,25,36.9,22.65,16.67,-7.57,28.8,0.389,3.77E-04
10.2,16.75,0,25,36.9,22.64,17.17,-7.57,28.8,0.389,4.58E-04
11.2,18.25,0,25,36.9,22.64,17.65,-7.57,28.8,0.389,5.48E-04
12.2,19.54,0,25,36.9,22.64,18.08,-7.57,28.8,0.389,6.43E-04
13.2,20.63,0,25,36.9,22.64,18.47,-7.57,28.8,0.39,7.44E-04
14.2,21.66,0,25,36.9,22.64,18.81,-7.57,28.8,0.39,8.50E-04
15.2,22.52,0,25,36.9,22.64,19.11,-7.57,28.8,0.39,9.60E-04
16.3,23.29,0,25,36.9,22.65,19.38,-7.57,28.8,0.39,1.07E-03
17.3,23.89,0,25,36.9,22.65,19.6,-7.57,28.8,0.391,1.19E-03
18.3,24.43,0,25,36.9,22.65,19.79,-7.57,28.8,0.391,1.31E-03
19.3,24.95,0,25,36.9,22.65,19.97,-7.57,28.8,0.391,1.43E-03
20.3,25.28,0,25,36.9,22.65,20.1,-7.57,28.8,0.391,1.55E-03
21.3,25.67,0,24.9,37,22.65,20.23,-7.57,28.8,0.392,1.68E-03
22.3,25.95,0,24.9,37,22.65,20.34,-7.57,28.8,0.392,1.81E-03
23.4,26.22,0,24.9,37,22.65,20.43,-7.57,28.8,0.392,1.94E-03
24.4,26.42,0,24.9,37,22.65,20.5,-7.57,28.8,0.393,2.06E-03
25.4,26.56,0,24.9,37,22.65,20.57,-7.57,28.8,0.393,2.19E-03
26.4,26.7,0,24.9,37,22.65,20.62,-7.57,28.8,0.393,2.32E-03
27.4,26.79,0,24.9,37,22.65,20.66,-7.57,28.8,0.393,2.46E-03
28.4,26.85,0,24.9,37,22.64,20.69,-7.57,28.8,0.394,2.59E-03
29.5,26.89,0,24.9,37.1,22.64,20.71,-7.57,28.8,0.394,2.72E-03
30.5,26.89,0,24.9,37.1,22.64,20.72,-7.57,28.8,0.394,2.85E-03
31.5,26.87,0,24.9,37.1,22.65,20.72,-7.57,28.8,0.395,2.98E-03
32.5,26.86,0,24.8,37.1,22.65,20.72,-7.57,28.8,0.395,3.11E-03
33.5,26.76,0,24.8,37.1,22.65,20.7,-7.57,28.8,0.395,3.24E-03
34.5,26.72,0,24.8,37.1,22.65,20.69,-7.57,28.8,0.395,3.37E-03
35.6,26.63,0,24.8,37.1,22.65,20.67,-7.57,28.8,0.396,3.51E-03
36.6,26.6,0,24.8,37.2,22.65,20.65,-7.57,28.8,0.396,3.64E-03
37.6,26.53,0,24.8,37.2,22.65,20.64,-7.57,28.8,0.396,3.76E-03
38.6,26.49,0,24.8,37.2,22.65,20.62,-7.57,28.8,0.397,3.89E-03
39.6,26.37,0,24.8,37.2,22.65,20.6,-7.57,28.8,0.397,4.02E-03
40.7,26.22,0,24.8,37.2,22.65,20.56,-7.57,28.8,0.397,4.15E-03
41.7,26.12,0,24.8,37.2,22.64,20.53,-7.57,28.8,0.397,4.28E-03
