"","effect","group","term","estimate","std.error","statistic","df","p.value"
"1","fixed",NA,"(Intercept)",27.71051415262,0.404574503258048,68.4929819587408,12.2374987027098,3.42292185738638e-17
"2","fixed",NA,"poly(time_min_block, 2)1",6.80202122814613,1.84520542262598,3.68632193724313,421.292031115605,0.000257241626367819
"3","fixed",NA,"poly(time_min_block, 2)2",0.0248081205305185,1.86730992787693,0.0132854863352676,421.349698844856,0.989406315559067
"4","fixed",NA,"treatmentCooling",-2.53874726190504,0.488356873211242,-5.19854926011635,25.8281861823216,2.02993215796884e-05
"5","fixed",NA,"treatmentHeating",-1.47375758013978,0.503086529821597,-2.92943160426577,26.2773972828863,0.00693620551896555
"6","fixed",NA,"poly(time_min_block, 2)1:treatmentCooling",-99.0151509446811,2.70207542704517,-36.6441106542159,423.460181538832,2.10881634705722e-133
"7","fixed",NA,"poly(time_min_block, 2)2:treatmentCooling",18.4645446198438,2.67572591196643,6.90076085045419,421.60345559278,1.90612758052324e-11
"8","fixed",NA,"poly(time_min_block, 2)1:treatmentHeating",69.4421686571106,2.68062419451239,25.9052234174669,421.691299827501,3.17973428851981e-89
"9","fixed",NA,"poly(time_min_block, 2)2:treatmentHeating",-6.86048442873273,2.68336318875667,-2.55667382539876,421.443902891139,0.0109173141157834
"10","ran_pars","lizard_ID:date","sd__(Intercept)",1.09762460195255,NA,NA,NA,NA
"11","ran_pars","date","sd__(Intercept)",0.47964000036168,NA,NA,NA,NA
"12","ran_pars","Residual","sd__Observation",1.09493335098225,NA,NA,NA,NA
