"","treatment","temp_mean","temp_SD","humidity_mean","humidity_SD","VPD_mean","VPD_sd"
"1","cold",13.6672972972973,2.14682442360444,9.43189189189189,10.5233391130291,1.40949785291598,0.143964329029711
"2","control",24.3681081081081,0.499580844242412,32.9489189189189,6.96839339577517,2.04147555475433,0.18687200218949
"3","hot",37.2539285714286,2.02854665647009,10.7879017857143,7.15707562152267,5.73658037922812,0.747605482493137
