"","effect","group","term","estimate","std.error","statistic","df","p.value"
"1","fixed",NA,"(Intercept)",-0.21,0.09,-2.31,12,0.0395991850480792
"2","fixed",NA,"treatmentCooling",-0.18,0.11,-1.65,30,0.108748350096128
"3","fixed",NA,"treatmentHeating",0.45,0.11,4.19,30,0.000222052441126824
"4","ran_pars","date_factor","sd__(Intercept)",0.11,NA,NA,NA,NA
"5","ran_pars","Residual","sd__Observation",0.26,NA,NA,NA,NA
