#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Stopped,End of File
1,10/12/2021 11:00:00,13.11,6.51,-22.75,,
2,10/12/2021 11:30:00,13.07,6.45,-22.88,,
3,10/12/2021 12:00:00,13.08,6.42,-22.93,,
4,10/12/2021 12:30:00,13.61,17.03,-10.95,,
5,10/12/2021 13:00:00,12.72,4.24,-27.74,,
6,10/12/2021 13:30:00,13.01,23.50,-7.35,,
7,10/12/2021 14:00:00,13.90,4.45,-26.39,,
8,10/12/2021 14:30:00,12.37,7.04,-22.42,,
9,10/12/2021 15:00:00,15.63,33.03,-0.56,,
10,10/12/2021 15:30:00,14.50,4.47,-25.91,,
11,10/12/2021 16:00:00,12.49,8.80,-19.78,,
12,10/12/2021 16:30:00,13.37,7.44,-21.05,,
13,10/12/2021 17:00:00,13.67,4.62,-26.14,,
14,10/12/2021 17:30:00,12.53,7.92,-20.95,,
15,10/12/2021 18:00:00,12.77,6.06,-23.80,,
16,10/12/2021 18:30:00,13.08,7.95,-20.51,,
17,10/12/2021 18:59:59,,,,Logged,Logged
