#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Stopped,End of File
1,10/05/2021 11:00:00,24.76,45.30,12.14,,
2,10/05/2021 11:30:00,24.94,45.28,12.30,,
3,10/05/2021 12:00:00,24.99,45.32,12.36,,
4,10/05/2021 12:30:00,25.16,44.45,12.22,,
5,10/05/2021 13:00:00,25.49,44.73,12.61,,
6,10/05/2021 13:30:00,25.29,46.32,12.96,,
7,10/05/2021 14:00:00,25.12,46.30,12.80,,
8,10/05/2021 14:30:00,25.05,45.67,12.53,,
9,10/05/2021 15:00:00,24.93,45.76,12.45,,
10,10/05/2021 15:30:00,25.09,45.46,12.50,,
11,10/05/2021 16:00:00,24.51,47.76,12.73,,
12,10/05/2021 16:30:00,25.02,47.05,12.96,,
13,10/05/2021 17:00:00,25.09,46.69,12.91,,
14,10/05/2021 17:30:00,24.83,47.75,13.01,,
15,10/05/2021 18:00:00,24.91,46.45,12.66,,
16,10/05/2021 18:30:00,24.88,45.22,12.23,,
17,10/05/2021 18:59:59,,,,Logged,Logged
