#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Stopped,End of File
1,10/05/2021 11:00:00,14.29,8.16,-19.29,,
2,10/05/2021 11:30:00,14.89,5.62,-23.10,,
3,10/05/2021 12:00:00,14.52,4.59,-25.61,,
4,10/05/2021 12:30:00,14.66,5.21,-24.12,,
5,10/05/2021 13:00:00,14.78,4.52,-25.61,,
6,10/05/2021 13:30:00,15.72,15.13,-10.72,,
7,10/05/2021 14:00:00,13.76,4.44,-26.52,,
8,10/05/2021 14:30:00,16.78,51.38,6.71,,
9,10/05/2021 15:00:00,16.32,6.47,-20.47,,
10,10/05/2021 15:30:00,15.90,5.03,-23.63,,
11,10/05/2021 16:00:00,17.69,46.07,5.97,,
12,10/05/2021 16:30:00,14.95,6.70,-21.08,,
13,10/05/2021 17:00:00,13.26,4.62,-26.43,,
14,10/05/2021 17:30:00,23.72,49.64,12.59,,
15,10/05/2021 18:00:00,25.00,45.87,12.55,,
16,10/05/2021 18:30:00,24.77,45.79,12.32,,
17,10/05/2021 18:59:59,,,,Logged,Logged
