#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Stopped,End of File
1,10/11/2021 11:00:00,15.75,9.47,-16.43,,
2,10/11/2021 11:30:00,11.26,6.99,-23.31,,
3,10/11/2021 12:00:00,12.63,14.45,-13.77,,
4,10/11/2021 12:30:00,13.22,8.78,-19.25,,
5,10/11/2021 13:00:00,12.42,8.80,-19.84,,
6,10/11/2021 13:30:00,12.82,9.28,-18.91,,
7,10/11/2021 14:00:00,13.56,11.60,-15.69,,
8,10/11/2021 14:30:00,11.33,8.24,-21.41,,
9,10/11/2021 15:00:00,13.09,7.86,-20.62,,
10,10/11/2021 15:30:00,13.98,12.20,-14.75,,
11,10/11/2021 16:00:00,12.80,7.24,-21.78,,
12,10/11/2021 16:30:00,13.63,25.65,-5.69,,
13,10/11/2021 17:00:00,13.46,11.06,-16.35,,
14,10/11/2021 17:30:00,13.34,8.45,-19.61,,
15,10/11/2021 18:00:00,13.52,7.34,-21.08,,
16,10/11/2021 18:30:00,13.44,7.69,-20.61,,
17,10/11/2021 18:59:59,,,,Logged,Logged
