#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Stopped,End of File
1,10/18/2021 12:00:00,37.66,7.66,-2.77,,
2,10/18/2021 12:30:00,37.69,6.99,-3.99,,
3,10/18/2021 13:00:00,37.05,12.01,2.97,,
4,10/18/2021 13:30:00,37.30,11.13,2.07,,
5,10/18/2021 14:00:00,37.38,12.47,3.75,,
6,10/18/2021 14:30:00,35.31,18.56,7.86,,
7,10/18/2021 15:00:00,36.83,17.12,7.89,,
8,10/18/2021 15:30:00,37.96,11.16,2.62,,
9,10/18/2021 16:00:00,37.52,11.76,3.03,,
10,10/18/2021 16:30:00,35.53,17.94,7.53,,
11,10/18/2021 17:00:00,37.45,15.13,6.58,,
12,10/18/2021 17:30:00,37.70,10.25,1.23,,
13,10/18/2021 18:00:00,37.64,9.26,-0.22,,
14,10/18/2021 18:30:00,37.65,8.69,-1.08,,
15,10/18/2021 19:00:00,37.65,8.38,-1.57,,
16,10/18/2021 19:30:00,37.66,8.16,-1.93,,
17,10/18/2021 20:00:00,37.63,8.01,-2.19,,
18,10/18/2021 20:30:00,37.67,7.97,-2.23,,
19,10/18/2021 21:00:00,37.61,7.85,-2.49,,
20,10/18/2021 21:30:00,37.67,7.77,-2.57,,
21,10/18/2021 22:00:00,37.67,7.66,-2.76,,
22,10/18/2021 22:30:00,37.65,7.60,-2.88,,
23,10/18/2021 23:00:00,37.66,7.65,-2.80,,
24,10/18/2021 23:30:00,37.65,7.54,-3.00,,
25,10/19/2021 00:00:00,37.64,7.50,-3.08,,
26,10/19/2021 00:30:00,37.63,7.41,-3.25,,
27,10/19/2021 01:00:00,37.63,7.39,-3.28,,
28,10/19/2021 01:30:00,37.64,7.33,-3.38,,
29,10/19/2021 02:00:00,37.63,7.26,-3.52,,
30,10/19/2021 02:30:00,37.64,7.26,-3.51,,
31,10/19/2021 03:00:00,37.65,7.26,-3.50,,
32,10/19/2021 03:30:00,37.64,7.18,-3.65,,
33,10/19/2021 04:00:00,37.63,7.13,-3.75,,
34,10/19/2021 04:30:00,37.63,7.10,-3.82,,
35,10/19/2021 05:00:00,37.63,7.12,-3.79,,
36,10/19/2021 05:30:00,37.61,7.02,-3.98,,
37,10/19/2021 06:00:00,37.66,7.04,-3.90,,
38,10/19/2021 06:30:00,37.64,7.04,-3.92,,
39,10/19/2021 07:00:00,37.59,7.00,-4.03,,
40,10/19/2021 07:30:00,37.60,6.93,-4.16,,
41,10/19/2021 08:00:00,37.59,6.99,-4.06,,
42,10/19/2021 08:30:00,37.59,7.04,-3.96,,
43,10/19/2021 09:00:00,37.60,7.02,-3.99,,
44,10/19/2021 09:30:00,37.61,7.06,-3.91,,
45,10/19/2021 10:00:00,37.64,7.00,-3.99,,
46,10/19/2021 10:30:00,37.60,7.00,-4.03,,
47,10/19/2021 11:00:00,37.61,6.99,-4.05,,
48,10/19/2021 11:30:00,37.65,6.99,-4.02,,
49,10/19/2021 12:00:00,37.61,7.00,-4.01,,
50,10/19/2021 12:30:00,37.63,7.04,-3.93,,
51,10/19/2021 13:00:00,35.93,13.38,3.62,,
52,10/19/2021 13:30:00,37.66,8.51,-1.35,,
53,10/19/2021 14:00:00,37.74,12.28,3.81,,
54,10/19/2021 14:30:00,37.57,11.16,2.32,,
55,10/19/2021 15:00:00,37.62,11.42,2.68,,
56,10/19/2021 15:30:00,37.47,8.97,-0.77,,
57,10/19/2021 16:00:00,37.23,13.89,5.18,,
58,10/19/2021 16:30:00,37.55,9.47,0.03,,
59,10/19/2021 17:00:00,37.48,8.41,-1.65,,
60,10/19/2021 17:30:00,37.59,8.08,-2.11,,
61,10/19/2021 18:00:00,37.56,8.06,-2.16,,
62,10/19/2021 18:30:00,37.58,7.92,-2.39,,
63,10/19/2021 19:00:00,37.57,7.81,-2.59,,
64,10/19/2021 19:30:00,37.55,7.77,-2.67,,
65,10/19/2021 19:59:59,,,,Logged,Logged
