#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Stopped,End of File
1,10/05/2021 11:00:00,38.36,10.75,2.39,,
2,10/05/2021 11:30:00,38.41,9.94,1.35,,
3,10/05/2021 12:00:00,38.44,9.69,1.01,,
4,10/05/2021 12:30:00,38.47,9.56,0.85,,
5,10/05/2021 13:00:00,38.47,9.45,0.68,,
6,10/05/2021 13:30:00,38.49,9.35,0.55,,
7,10/05/2021 14:00:00,37.99,22.57,12.98,,
8,10/05/2021 14:30:00,38.35,23.19,13.70,,
9,10/05/2021 15:00:00,37.95,23.63,13.66,,
10,10/05/2021 15:30:00,37.61,24.32,13.81,,
11,10/05/2021 16:00:00,38.47,21.18,12.40,,
12,10/05/2021 16:30:00,37.28,26.14,14.65,,
13,10/05/2021 17:00:00,38.77,19.87,11.68,,
14,10/05/2021 17:30:00,25.80,44.56,12.84,,
15,10/05/2021 18:00:00,25.65,43.98,12.50,,
16,10/05/2021 18:30:00,25.49,44.75,12.62,,
17,10/05/2021 18:59:59,,,,Logged,Logged
