#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Stopped,End of File
1,10/11/2021 11:00:00,24.69,29.48,5.71,,
2,10/11/2021 11:30:00,24.59,26.31,4.00,,
3,10/11/2021 12:00:00,24.63,23.69,2.55,,
4,10/11/2021 12:30:00,24.57,22.59,1.83,,
5,10/11/2021 13:00:00,24.58,23.11,2.16,,
6,10/11/2021 13:30:00,24.66,28.78,5.35,,
7,10/11/2021 14:00:00,24.59,31.03,6.37,,
8,10/11/2021 14:30:00,24.60,33.04,7.29,,
9,10/11/2021 15:00:00,24.56,33.40,7.42,,
10,10/11/2021 15:30:00,24.59,34.01,7.71,,
11,10/11/2021 16:00:00,24.50,33.69,7.50,,
12,10/11/2021 16:30:00,24.57,33.38,7.42,,
13,10/11/2021 17:00:00,24.58,33.75,7.59,,
14,10/11/2021 17:30:00,24.45,34.01,7.59,,
15,10/11/2021 18:00:00,24.30,34.34,7.60,,
16,10/11/2021 18:30:00,24.13,34.73,7.61,,
17,10/11/2021 18:59:59,,,,Logged,Logged
