#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Stopped,End of File
1,10/11/2021 11:00:00,35.09,13.52,3.11,,
2,10/11/2021 11:30:00,37.47,9.76,0.38,,
3,10/11/2021 12:00:00,37.60,8.85,-0.87,,
4,10/11/2021 12:30:00,37.70,8.44,-1.44,,
5,10/11/2021 13:00:00,37.06,9.56,-0.21,,
6,10/11/2021 13:30:00,37.67,8.39,-1.54,,
7,10/11/2021 14:00:00,36.88,14.03,5.04,,
8,10/11/2021 14:30:00,38.10,11.51,3.17,,
9,10/11/2021 15:00:00,37.30,11.33,2.33,,
10,10/11/2021 15:30:00,37.62,9.43,0.01,,
11,10/11/2021 16:00:00,37.48,12.22,3.54,,
12,10/11/2021 16:30:00,37.76,9.56,0.31,,
13,10/11/2021 17:00:00,36.85,15.13,6.10,,
14,10/11/2021 17:30:00,37.87,9.63,0.50,,
15,10/11/2021 18:00:00,37.73,8.69,-1.01,,
16,10/11/2021 18:30:00,37.72,8.31,-1.63,,
17,10/11/2021 18:59:59,,,,Logged,Logged
