#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Stopped,End of File
1,10/12/2021 11:00:00,13.41,6.12,-23.22,,
2,10/12/2021 11:30:00,13.41,5.99,-23.47,,
3,10/12/2021 12:00:00,13.34,6.02,-23.45,,
4,10/12/2021 12:30:00,13.90,16.59,-11.04,,
5,10/12/2021 13:00:00,12.92,3.90,-28.50,,
6,10/12/2021 13:30:00,13.05,22.81,-7.70,,
7,10/12/2021 14:00:00,13.62,4.15,-27.35,,
8,10/12/2021 14:30:00,11.87,6.95,-22.93,,
9,10/12/2021 15:00:00,14.96,33.98,-0.76,,
10,10/12/2021 15:30:00,14.14,4.19,-26.88,,
11,10/12/2021 16:00:00,12.10,8.80,-20.07,,
12,10/12/2021 16:30:00,13.11,7.37,-21.35,,
13,10/12/2021 17:00:00,13.16,4.50,-26.79,,
14,10/12/2021 17:30:00,12.02,7.97,-21.27,,
15,10/12/2021 18:00:00,12.38,5.99,-24.22,,
16,10/12/2021 18:30:00,12.89,7.80,-20.86,,
17,10/12/2021 18:59:59,,,,Logged,Logged
