#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Stopped,End of File
1,10/12/2021 11:00:00,37.66,6.09,-5.82,,
2,10/12/2021 11:30:00,37.66,6.05,-5.90,,
3,10/12/2021 12:00:00,37.70,6.03,-5.92,,
4,10/12/2021 12:30:00,36.39,7.94,-3.22,,
5,10/12/2021 13:00:00,37.62,6.29,-5.44,,
6,10/12/2021 13:30:00,37.38,6.62,-4.93,,
7,10/12/2021 14:00:00,38.18,7.33,-2.99,,
8,10/12/2021 14:30:00,36.77,11.05,1.59,,
9,10/12/2021 15:00:00,37.87,7.24,-3.38,,
10,10/12/2021 15:30:00,37.66,6.61,-4.75,,
11,10/12/2021 16:00:00,37.69,6.50,-4.94,,
12,10/12/2021 16:30:00,37.72,6.39,-5.14,,
13,10/12/2021 17:00:00,37.71,6.29,-5.36,,
14,10/12/2021 17:30:00,37.70,6.21,-5.53,,
15,10/12/2021 18:00:00,37.69,6.29,-5.39,,
16,10/12/2021 18:30:00,37.67,6.29,-5.39,,
17,10/12/2021 18:59:59,,,,Logged,Logged
