#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Stopped,End of File
1,10/05/2021 11:00:00,12.72,9.07,-19.25,,
2,10/05/2021 11:30:00,13.43,6.26,-22.97,,
3,10/05/2021 12:00:00,12.77,5.28,-25.32,,
4,10/05/2021 12:30:00,13.01,5.89,-23.95,,
5,10/05/2021 13:00:00,13.00,5.11,-25.52,,
6,10/05/2021 13:30:00,16.13,15.25,-10.30,,
7,10/05/2021 14:00:00,14.14,4.29,-26.62,,
8,10/05/2021 14:30:00,17.58,50.58,7.22,,
9,10/05/2021 15:00:00,16.75,6.28,-20.50,,
10,10/05/2021 15:30:00,15.55,5.17,-23.56,,
11,10/05/2021 16:00:00,17.63,49.73,7.02,,
12,10/05/2021 16:30:00,15.99,6.04,-21.50,,
13,10/05/2021 17:00:00,14.33,4.16,-26.83,,
14,10/05/2021 17:30:00,23.81,48.92,12.45,,
15,10/05/2021 18:00:00,24.94,45.87,12.50,,
16,10/05/2021 18:30:00,24.71,45.86,12.28,,
17,10/05/2021 18:59:59,,,,Logged,Logged
