#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Stopped,End of File
1,10/11/2021 12:00:00,12.02,15.34,-13.54,,
2,10/11/2021 12:30:00,12.58,9.59,-18.70,,
3,10/11/2021 13:00:00,11.42,9.76,-19.40,,
4,10/11/2021 13:30:00,12.19,9.94,-18.59,,
5,10/11/2021 14:00:00,12.55,12.44,-15.65,,
6,10/11/2021 14:30:00,10.06,9.45,-20.81,,
7,10/11/2021 15:00:00,12.81,8.35,-20.14,,
8,10/11/2021 15:30:00,13.71,12.71,-14.47,,
9,10/11/2021 16:00:00,12.65,7.57,-21.39,,
10,10/11/2021 16:30:00,13.45,26.24,-5.54,,
11,10/11/2021 17:00:00,13.17,11.50,-16.10,,
12,10/11/2021 17:30:00,13.07,8.86,-19.25,,
13,10/11/2021 18:00:00,13.20,7.79,-20.65,,
14,10/11/2021 18:30:00,13.15,8.17,-20.14,,
15,10/11/2021 18:59:59,,,,Logged,Logged
