#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Stopped,End of File
1,10/12/2021 11:00:00,23.28,16.88,-3.21,,
2,10/12/2021 11:30:00,23.55,16.94,-2.94,,
3,10/12/2021 12:00:00,23.59,16.92,-2.93,,
4,10/12/2021 12:30:00,23.71,16.54,-3.14,,
5,10/12/2021 13:00:00,23.69,15.98,-3.61,,
6,10/12/2021 13:30:00,23.85,19.01,-1.14,,
7,10/12/2021 14:00:00,23.95,22.06,0.98,,
8,10/12/2021 14:30:00,23.91,22.81,1.42,,
9,10/12/2021 15:00:00,23.89,23.64,1.90,,
10,10/12/2021 15:30:00,23.94,23.65,1.95,,
11,10/12/2021 16:00:00,24.06,26.60,3.71,,
12,10/12/2021 16:30:00,24.14,27.38,4.18,,
13,10/12/2021 17:00:00,24.14,28.35,4.68,,
14,10/12/2021 17:30:00,24.11,29.32,5.13,,
15,10/12/2021 18:00:00,24.12,30.71,5.81,,
16,10/12/2021 18:30:00,24.29,30.89,6.05,,
17,10/12/2021 18:59:59,,,,Logged,Logged
