#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Stopped,End of File
1,10/12/2021 11:00:00,23.27,16.87,-3.22,,
2,10/12/2021 11:30:00,23.42,16.98,-3.02,,
3,10/12/2021 12:00:00,23.52,17.14,-2.81,,
4,10/12/2021 12:30:00,23.59,16.92,-2.92,,
5,10/12/2021 13:00:00,23.62,16.22,-3.47,,
6,10/12/2021 13:30:00,23.73,19.03,-1.23,,
7,10/12/2021 14:00:00,23.85,22.07,0.91,,
8,10/12/2021 14:30:00,23.88,22.80,1.39,,
9,10/12/2021 15:00:00,23.88,23.60,1.87,,
10,10/12/2021 15:30:00,23.85,23.70,1.90,,
11,10/12/2021 16:00:00,23.99,26.67,3.68,,
12,10/12/2021 16:30:00,24.04,27.57,4.20,,
13,10/12/2021 17:00:00,24.08,28.38,4.64,,
14,10/12/2021 17:30:00,24.06,29.32,5.10,,
15,10/12/2021 18:00:00,24.08,30.80,5.82,,
16,10/12/2021 18:30:00,24.11,31.22,6.04,,
17,10/12/2021 18:59:59,,,,Logged,Logged
