#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Stopped,End of File
1,10/11/2021 12:00:00,24.53,24.23,2.78,,
2,10/11/2021 12:30:00,24.50,22.70,1.85,,
3,10/11/2021 13:00:00,24.57,22.92,2.04,,
4,10/11/2021 13:30:00,24.54,28.87,5.29,,
5,10/11/2021 14:00:00,24.50,31.02,6.29,,
6,10/11/2021 14:30:00,24.47,33.28,7.29,,
7,10/11/2021 15:00:00,24.50,33.50,7.41,,
8,10/11/2021 15:30:00,24.46,34.17,7.67,,
9,10/11/2021 16:00:00,24.43,33.78,7.47,,
10,10/11/2021 16:30:00,24.49,33.50,7.40,,
11,10/11/2021 17:00:00,24.42,33.99,7.55,,
12,10/11/2021 17:30:00,24.36,34.12,7.56,,
13,10/11/2021 18:00:00,24.24,34.52,7.62,,
14,10/11/2021 18:30:00,24.15,34.69,7.61,,
15,10/11/2021 18:59:59,,,,Logged,Logged
