Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit
1,10/1/2021,11:20:28,13.5,T1 KTemp C,13.4,T2 KTemp C,13.5,T3 KTemp C,13.6,T4 KTemp C
2,10/1/2021,11:21:28,13.9,T1 KTemp C,13.7,T2 KTemp C,13.9,T3 KTemp C,13.7,T4 KTemp C
3,10/1/2021,11:22:28,14.2,T1 KTemp C,14.1,T2 KTemp C,13.9,T3 KTemp C,13.9,T4 KTemp C
4,10/1/2021,11:23:28,14,T1 KTemp C,14.2,T2 KTemp C,14.3,T3 KTemp C,14.2,T4 KTemp C
5,10/1/2021,11:24:28,14.4,T1 KTemp C,14.4,T2 KTemp C,14.4,T3 KTemp C,14.2,T4 KTemp C
6,10/1/2021,11:25:28,14.4,T1 KTemp C,14.8,T2 KTemp C,14.8,T3 KTemp C,14.4,T4 KTemp C
7,10/1/2021,11:26:28,15,T1 KTemp C,15.1,T2 KTemp C,14.9,T3 KTemp C,14.8,T4 KTemp C
8,10/1/2021,11:27:28,15,T1 KTemp C,15,T2 KTemp C,15.2,T3 KTemp C,15,T4 KTemp C
9,10/1/2021,11:28:28,15.2,T1 KTemp C,15.2,T2 KTemp C,15.2,T3 KTemp C,15.3,T4 KTemp C
10,10/1/2021,11:29:28,15.6,T1 KTemp C,15.7,T2 KTemp C,15.5,T3 KTemp C,15.5,T4 KTemp C
11,10/1/2021,11:30:28,15.4,T1 KTemp C,15.4,T2 KTemp C,15.5,T3 KTemp C,15.5,T4 KTemp C
12,10/1/2021,11:31:28,15.6,T1 KTemp C,15.5,T2 KTemp C,15.7,T3 KTemp C,15.7,T4 KTemp C
13,10/1/2021,11:32:28,15.6,T1 KTemp C,15.7,T2 KTemp C,16,T3 KTemp C,15.9,T4 KTemp C
14,10/1/2021,11:33:28,15.8,T1 KTemp C,15.8,T2 KTemp C,15.9,T3 KTemp C,15.9,T4 KTemp C
15,10/1/2021,11:34:28,15.9,T1 KTemp C,15.9,T2 KTemp C,16.1,T3 KTemp C,16,T4 KTemp C
16,10/1/2021,11:35:28,16.1,T1 KTemp C,16,T2 KTemp C,16.2,T3 KTemp C,16.1,T4 KTemp C
17,10/1/2021,11:36:28,16.1,T1 KTemp C,16,T2 KTemp C,16.1,T3 KTemp C,16.1,T4 KTemp C
18,10/1/2021,11:37:28,16.1,T1 KTemp C,16.3,T2 KTemp C,16.3,T3 KTemp C,16.2,T4 KTemp C
19,10/1/2021,11:38:28,16.1,T1 KTemp C,16.1,T2 KTemp C,16.3,T3 KTemp C,16.3,T4 KTemp C
20,10/1/2021,11:39:28,16.1,T1 KTemp C,16.2,T2 KTemp C,16.3,T3 KTemp C,16.3,T4 KTemp C
21,10/1/2021,11:40:28,16.1,T1 KTemp C,16.2,T2 KTemp C,16.3,T3 KTemp C,16.3,T4 KTemp C
22,10/1/2021,11:41:28,16.6,T1 KTemp C,16.7,T2 KTemp C,16.6,T3 KTemp C,16.5,T4 KTemp C
23,10/1/2021,11:42:28,17,T1 KTemp C,17.1,T2 KTemp C,16.9,T3 KTemp C,16.8,T4 KTemp C
24,10/1/2021,11:43:28,17.4,T1 KTemp C,17,T2 KTemp C,17.4,T3 KTemp C,17.3,T4 KTemp C
25,10/1/2021,11:44:28,17.3,T1 KTemp C,17.4,T2 KTemp C,17.6,T3 KTemp C,17.5,T4 KTemp C
26,10/1/2021,11:45:28,18,T1 KTemp C,17.9,T2 KTemp C,17.7,T3 KTemp C,17.8,T4 KTemp C
27,10/1/2021,11:46:28,17.9,T1 KTemp C,18.2,T2 KTemp C,18.3,T3 KTemp C,18.1,T4 KTemp C
28,10/1/2021,11:47:28,18.7,T1 KTemp C,18.6,T2 KTemp C,18.5,T3 KTemp C,18.6,T4 KTemp C
29,10/1/2021,11:48:28,18.7,T1 KTemp C,18.7,T2 KTemp C,18.9,T3 KTemp C,18.6,T4 KTemp C
30,10/1/2021,11:49:28,19,T1 KTemp C,19,T2 KTemp C,19.1,T3 KTemp C,19.2,T4 KTemp C
31,10/1/2021,11:50:28,19.3,T1 KTemp C,19.4,T2 KTemp C,19.6,T3 KTemp C,19.4,T4 KTemp C
32,10/1/2021,11:51:28,19.4,T1 KTemp C,19.4,T2 KTemp C,19.6,T3 KTemp C,19.6,T4 KTemp C
33,10/1/2021,11:52:28,19.7,T1 KTemp C,19.8,T2 KTemp C,19.8,T3 KTemp C,19.9,T4 KTemp C
34,10/1/2021,11:53:28,20.2,T1 KTemp C,20.1,T2 KTemp C,20.1,T3 KTemp C,20.1,T4 KTemp C
35,10/1/2021,11:54:28,20.1,T1 KTemp C,20.1,T2 KTemp C,20.4,T3 KTemp C,20.1,T4 KTemp C
36,10/1/2021,11:55:28,20.6,T1 KTemp C,20.6,T2 KTemp C,20.5,T3 KTemp C,20.5,T4 KTemp C
37,10/1/2021,11:56:28,21,T1 KTemp C,20.9,T2 KTemp C,21,T3 KTemp C,20.8,T4 KTemp C
38,10/1/2021,11:57:28,21.3,T1 KTemp C,21.9,T2 KTemp C,21.1,T3 KTemp C,21,T4 KTemp C
39,10/1/2021,11:58:28,21.5,T1 KTemp C,21.4,T2 KTemp C,21.6,T3 KTemp C,21.3,T4 KTemp C
40,10/1/2021,11:59:28,21.7,T1 KTemp C,21.7,T2 KTemp C,21.8,T3 KTemp C,21.7,T4 KTemp C
41,10/1/2021,12:00:28,22.2,T1 KTemp C,22.1,T2 KTemp C,22.1,T3 KTemp C,22.2,T4 KTemp C
42,10/1/2021,12:01:28,22.2,T1 KTemp C,22.4,T2 KTemp C,22.3,T3 KTemp C,22.4,T4 KTemp C
43,10/1/2021,12:02:28,23.1,T1 KTemp C,22.5,T2 KTemp C,22.7,T3 KTemp C,22.5,T4 KTemp C
44,10/1/2021,12:03:28,23,T1 KTemp C,23.2,T2 KTemp C,23.1,T3 KTemp C,23.1,T4 KTemp C
45,10/1/2021,12:04:28,23.3,T1 KTemp C,23.3,T2 KTemp C,23.5,T3 KTemp C,23.3,T4 KTemp C
46,10/1/2021,12:05:28,23.5,T1 KTemp C,23.8,T2 KTemp C,23.7,T3 KTemp C,23.8,T4 KTemp C
47,10/1/2021,12:06:28,23.9,T1 KTemp C,24,T2 KTemp C,23.9,T3 KTemp C,24.1,T4 KTemp C
48,10/1/2021,12:07:28,24.2,T1 KTemp C,24.2,T2 KTemp C,24.4,T3 KTemp C,24.4,T4 KTemp C
49,10/1/2021,12:08:28,24.5,T1 KTemp C,24.6,T2 KTemp C,25,T3 KTemp C,24.7,T4 KTemp C
50,10/1/2021,12:09:28,24.9,T1 KTemp C,24.8,T2 KTemp C,25.1,T3 KTemp C,24.9,T4 KTemp C
51,10/1/2021,12:10:28,25.1,T1 KTemp C,25.2,T2 KTemp C,25.2,T3 KTemp C,25.1,T4 KTemp C
52,10/1/2021,12:11:28,25.4,T1 KTemp C,25.3,T2 KTemp C,25.4,T3 KTemp C,25.5,T4 KTemp C
53,10/1/2021,12:12:28,25.5,T1 KTemp C,25.7,T2 KTemp C,25.8,T3 KTemp C,25.8,T4 KTemp C
54,10/1/2021,12:13:28,26.2,T1 KTemp C,26.5,T2 KTemp C,26.1,T3 KTemp C,25.9,T4 KTemp C
55,10/1/2021,12:14:28,26.3,T1 KTemp C,26.3,T2 KTemp C,26.4,T3 KTemp C,26.3,T4 KTemp C
56,10/1/2021,12:15:28,26.3,T1 KTemp C,26.4,T2 KTemp C,26.6,T3 KTemp C,26.6,T4 KTemp C
57,10/1/2021,12:16:28,26.9,T1 KTemp C,26.9,T2 KTemp C,26.8,T3 KTemp C,26.8,T4 KTemp C
58,10/1/2021,12:17:28,26.9,T1 KTemp C,27.1,T2 KTemp C,27.1,T3 KTemp C,27.1,T4 KTemp C
59,10/1/2021,12:18:28,27.4,T1 KTemp C,27.3,T2 KTemp C,27.3,T3 KTemp C,27.3,T4 KTemp C
60,10/1/2021,12:19:28,27.4,T1 KTemp C,28.1,T2 KTemp C,27.4,T3 KTemp C,27.5,T4 KTemp C
61,10/1/2021,12:20:28,27.6,T1 KTemp C,27.9,T2 KTemp C,27.7,T3 KTemp C,27.7,T4 KTemp C
62,10/1/2021,12:21:28,27.8,T1 KTemp C,27.8,T2 KTemp C,28.1,T3 KTemp C,28.1,T4 KTemp C
63,10/1/2021,12:22:28,28.3,T1 KTemp C,28.4,T2 KTemp C,28.2,T3 KTemp C,28.3,T4 KTemp C
64,10/1/2021,12:23:28,28.5,T1 KTemp C,28.4,T2 KTemp C,28.6,T3 KTemp C,28.6,T4 KTemp C
65,10/1/2021,12:24:28,28.6,T1 KTemp C,28.6,T2 KTemp C,28.7,T3 KTemp C,28.8,T4 KTemp C
66,10/1/2021,12:25:28,28.8,T1 KTemp C,28.8,T2 KTemp C,28.9,T3 KTemp C,29,T4 KTemp C
67,10/1/2021,12:26:28,29.4,T1 KTemp C,29.1,T2 KTemp C,29.3,T3 KTemp C,29.5,T4 KTemp C
68,10/1/2021,12:27:28,29.5,T1 KTemp C,29.7,T2 KTemp C,29.5,T3 KTemp C,29.6,T4 KTemp C
69,10/1/2021,12:28:28,29.7,T1 KTemp C,29.9,T2 KTemp C,29.9,T3 KTemp C,29.8,T4 KTemp C
70,10/1/2021,12:29:28,29.9,T1 KTemp C,30,T2 KTemp C,30.2,T3 KTemp C,30.2,T4 KTemp C
71,10/1/2021,12:30:28,30.3,T1 KTemp C,30.3,T2 KTemp C,30.4,T3 KTemp C,30.5,T4 KTemp C
72,10/1/2021,12:31:28,30.5,T1 KTemp C,30.7,T2 KTemp C,30.7,T3 KTemp C,30.7,T4 KTemp C
73,10/1/2021,12:32:28,31.1,T1 KTemp C,31.1,T2 KTemp C,31.2,T3 KTemp C,31.3,T4 KTemp C
74,10/1/2021,12:33:28,31.6,T1 KTemp C,31.6,T2 KTemp C,31.6,T3 KTemp C,31.6,T4 KTemp C
75,10/1/2021,12:34:28,31.7,T1 KTemp C,31.9,T2 KTemp C,31.8,T3 KTemp C,31.9,T4 KTemp C
76,10/1/2021,12:35:28,32,T1 KTemp C,32,T2 KTemp C,32,T3 KTemp C,32,T4 KTemp C
77,10/1/2021,12:36:28,32.2,T1 KTemp C,32.2,T2 KTemp C,32.3,T3 KTemp C,32.4,T4 KTemp C
78,10/1/2021,12:37:28,32.4,T1 KTemp C,32.6,T2 KTemp C,32.7,T3 KTemp C,32.6,T4 KTemp C
79,10/1/2021,12:38:28,32.8,T1 KTemp C,32.7,T2 KTemp C,33.1,T3 KTemp C,33,T4 KTemp C
80,10/1/2021,12:39:28,32.9,T1 KTemp C,33.1,T2 KTemp C,33,T3 KTemp C,33.1,T4 KTemp C
81,10/1/2021,12:40:28,33.2,T1 KTemp C,33.2,T2 KTemp C,33.3,T3 KTemp C,33.3,T4 KTemp C
