time,reference_temp
11:29,9
11:30,10
11:31,10.5
11:32,11
11:33,12
11:34,12
11:35,12.5
11:36,13
11:37,13
11:38,13.5
11:39,13.5
11:40,13.5
11:41,13.5
11:42,14
11:43,14
11:44,14
11:45,14
11:46,14
11:47,14
11:48,14
11:49,14
11:50,14
11:51,14
11:52,14
11:53,14
11:54,14
11:55,14
11:56,14
11:57,14
11:58,14
11:59,14
12:00,14
12:01,14
12:02,14.5
12:03,14.5
12:04,14.5
12:05,14.5
12:06,14.5
12:07,14.5
12:08,14.5
12:09,14.5
12:10,14.5
12:11,14.5
12:12,14.5
12:13,14.5
12:14,14.5
12:15,15
12:16,15
12:17,15
12:18,15.5
12:19,16
12:20,16
12:21,16
12:22,16.5
12:23,16.5
12:24,17
12:25,17
12:26,17
12:27,17
12:28,17.5
12:29,18
12:30,18
12:31,18
12:32,18.5
12:33,19
12:34,19
12:35,19
12:36,19.5
12:37,20
12:38,20
12:39,20
12:40,20.5
12:41,20.5
12:42,21
12:43,21.5
12:44,21.5
12:45,22
12:46,22
12:47,22.5
12:48,22.5
12:49,23
12:50,23
12:51,23.5
12:52,24
12:53,24
12:54,24
12:55,24.5
12:56,24.5
12:57,25
12:58,25
12:59,25.5
13:00,25.5
13:01,26
13:02,26
13:03,26
13:04,26.5
13:05,27
13:06,27
13:07,27.5
13:08,27.5
13:09,28
13:10,28
13:11,28
13:12,28
13:13,28.5
13:14,29
13:15,29
13:16,29
13:17,29.5
13:18,30
13:19,30
13:20,30.5
13:21,31
13:22,31
13:23,31.5
13:24,32
13:25,32
13:26,32
13:27,32.5
13:28,33
13:29,33
13:30,33
13:31,33.5
13:32,33.5
13:33,34
13:34,34
13:35,34
13:36,34.5
13:37,35
13:38,35
13:39,35
13:40,35.5
13:41,35.5
13:42,36
13:43,36
13:44,36.5
13:45,37
13:46,37
13:47,37
13:48,37.5
13:49,38
13:50,38
13:51,38.5
13:52,38.5
13:53,39
13:54,39
13:55,39
13:56,39.5
13:57,39.5
13:58,39.5
13:59,40
