Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit
50,1/8/2022,10:59:57,21.5,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
51,1/8/2022,11:00:57,22.1,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
52,1/8/2022,11:01:57,22.4,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
53,1/8/2022,11:02:57,22.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
54,1/8/2022,11:03:57,23.1,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
55,1/8/2022,11:04:57,23.7,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
56,1/8/2022,11:05:57,24.3,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
57,1/8/2022,11:06:57,24.7,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
58,1/8/2022,11:07:57,24.9,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
59,1/8/2022,11:08:57,25.5,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
60,1/8/2022,11:09:57,25.6,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
61,1/8/2022,11:10:57,25.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
62,1/8/2022,11:11:57,26.4,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
63,1/8/2022,11:12:57,26.9,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
64,1/8/2022,11:13:57,27.4,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
65,1/8/2022,11:14:57,27.7,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
66,1/8/2022,11:15:57,28,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
67,1/8/2022,11:16:57,28.3,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
68,1/8/2022,11:17:57,28.7,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
69,1/8/2022,11:18:57,28.9,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
70,1/8/2022,11:19:57,29.5,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
71,1/8/2022,11:20:57,29.7,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
72,1/8/2022,11:21:57,30.1,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
73,1/8/2022,11:22:57,30.6,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
74,1/8/2022,11:23:57,30.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
75,1/8/2022,11:24:57,31.3,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
76,1/8/2022,11:25:57,31.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
77,1/8/2022,11:26:57,32.3,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
78,1/8/2022,11:27:57,32.4,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
