Date;Time;Temperature (°F);Wind Speed (ave) (mph);Relative Humidity (% RH);Pyranometer 0-2000 W/m² (W/m²);Precipitation II (inch)
10/12/21;12:00 AM;50.4;0.3;66.4;0.0;0.000
10/12/21;12:15 AM;51.2;2.4;62.2;0.0;0.000
10/12/21;12:30 AM;51.5;2.8;66.1;0.0;0.000
10/12/21;12:45 AM;51.0;2.9;72.7;0.0;0.000
10/12/21;1:00 AM;51.0;3.0;70.5;0.0;0.000
10/12/21;1:15 AM;51.6;2.8;68.8;0.0;0.000
10/12/21;1:30 AM;52.2;3.2;72.8;0.0;0.000
10/12/21;1:45 AM;51.7;1.4;74.4;0.0;0.000
10/12/21;2:00 AM;51.0;0.1;70.1;0.0;0.000
10/12/21;2:15 AM;49.5;0.1;70.8;0.0;0.000
10/12/21;2:30 AM;48.0;0.1;74.0;0.0;0.000
10/12/21;2:45 AM;46.8;0.1;75.8;0.0;0.000
10/12/21;3:00 AM;46.5;0.1;76.3;0.0;0.000
10/12/21;3:15 AM;48.1;0.1;76.7;0.0;0.000
10/12/21;3:30 AM;46.9;0.1;76.3;0.0;0.000
10/12/21;3:45 AM;46.0;0.1;78.4;0.0;0.000
10/12/21;4:00 AM;45.5;0.1;82.4;0.0;0.000
10/12/21;4:15 AM;45.4;0.1;83.3;0.0;0.000
10/12/21;4:30 AM;45.6;0.1;83.6;0.0;0.000
10/12/21;4:45 AM;46.4;0.1;84.4;0.0;0.000
10/12/21;5:00 AM;44.8;0.1;83.7;0.0;0.000
10/12/21;5:15 AM;43.4;0.1;81.3;0.0;0.000
10/12/21;5:30 AM;43.0;0.1;77.9;0.0;0.000
10/12/21;5:45 AM;43.0;0.1;77.0;0.0;0.000
10/12/21;6:00 AM;44.5;1.2;71.7;0.1;0.000
10/12/21;6:15 AM;47.6;0.9;56.7;0.1;0.000
10/12/21;6:30 AM;50.8;2.2;41.1;0.0;0.000
10/12/21;6:45 AM;52.6;3.9;36.9;0.0;0.000
10/12/21;7:00 AM;54.7;4.4;32.2;0.0;0.000
10/12/21;7:15 AM;54.2;2.6;32.5;0.2;0.000
10/12/21;7:30 AM;55.3;2.8;30.1;8.5;0.000
10/12/21;7:45 AM;54.3;2.0;31.6;15.1;0.000
10/12/21;8:00 AM;53.3;1.4;33.7;22.5;0.000
10/12/21;8:15 AM;52.3;1.0;37.0;70.1;0.000
10/12/21;8:30 AM;55.5;1.4;32.5;175.0;0.000
10/12/21;8:45 AM;58.3;1.7;29.2;295.0;0.000
10/12/21;9:00 AM;59.3;4.2;27.2;357.3;0.000
10/12/21;9:15 AM;60.1;5.8;26.6;416.2;0.000
10/12/21;9:30 AM;60.7;5.6;26.4;473.3;0.000
10/12/21;9:45 AM;61.1;5.6;25.8;528.9;0.000
10/12/21;10:00 AM;61.5;5.6;25.5;576.3;0.000
10/12/21;10:15 AM;62.3;5.0;24.9;619.0;0.000
10/12/21;10:30 AM;62.7;5.5;24.4;658.9;0.000
10/12/21;10:45 AM;64.3;4.1;23.8;690.2;0.000
10/12/21;11:00 AM;64.4;5.8;24.2;720.4;0.000
10/12/21;11:15 AM;64.3;7.1;23.1;752.0;0.000
10/12/21;11:30 AM;64.7;7.4;22.5;774.2;0.000
10/12/21;11:45 AM;65.0;8.7;21.9;797.6;0.000
10/12/21;12:00 PM;65.6;7.8;21.5;810.6;0.000
10/12/21;12:15 PM;66.2;6.8;21.1;822.4;0.000
10/12/21;12:30 PM;66.8;4.9;20.7;827.1;0.000
10/12/21;12:45 PM;67.2;7.0;19.8;833.0;0.000
10/12/21;1:00 PM;67.8;6.3;19.5;829.5;0.000
10/12/21;1:15 PM;68.3;5.3;21.7;816.4;0.000
10/12/21;1:30 PM;67.7;4.4;30.2;796.8;0.000
10/12/21;1:45 PM;67.3;4.0;33.5;781.0;0.000
10/12/21;2:00 PM;67.4;3.9;32.3;766.0;0.000
10/12/21;2:15 PM;67.1;4.3;32.3;745.1;0.000
10/12/21;2:30 PM;66.6;4.4;33.5;720.3;0.000
10/12/21;2:45 PM;66.0;5.2;33.2;693.0;0.000
10/12/21;3:00 PM;65.1;6.0;36.9;662.1;0.000
10/12/21;3:15 PM;65.1;4.5;35.7;626.4;0.000
10/12/21;3:30 PM;65.2;4.8;36.1;588.6;0.000
10/12/21;3:45 PM;65.0;4.0;42.3;541.9;0.000
10/12/21;4:00 PM;64.3;4.3;44.7;495.3;0.000
10/12/21;4:15 PM;64.5;3.8;44.2;448.2;0.000
10/12/21;4:30 PM;64.3;3.4;44.2;395.5;0.000
10/12/21;4:45 PM;63.4;3.8;45.1;342.5;0.000
10/12/21;5:00 PM;63.2;3.3;47.4;289.2;0.000
10/12/21;5:15 PM;62.1;3.4;49.6;234.8;0.000
10/12/21;5:30 PM;61.5;2.8;52.3;182.0;0.000
10/12/21;5:45 PM;60.5;2.8;55.4;129.2;0.000
10/12/21;6:00 PM;59.5;1.5;58.9;77.7;0.000
10/12/21;6:15 PM;57.7;3.3;63.1;18.2;0.000
10/12/21;6:30 PM;55.9;0.2;67.0;2.6;0.000
10/12/21;6:45 PM;55.3;1.8;70.3;0.0;0.000
10/12/21;7:00 PM;54.9;0.1;72.3;0.0;0.000
10/12/21;7:15 PM;54.4;0.1;74.1;0.0;0.000
10/12/21;7:30 PM;53.9;0.1;76.9;0.0;0.000
10/12/21;7:45 PM;53.2;0.1;80.0;0.0;0.000
10/12/21;8:00 PM;51.6;0.1;81.8;0.0;0.000
10/12/21;8:15 PM;50.7;0.1;83.8;0.0;0.000
10/12/21;8:30 PM;50.2;0.1;86.0;0.0;0.000
10/12/21;8:45 PM;50.2;0.1;86.0;0.0;0.000
10/12/21;9:00 PM;48.8;0.1;86.0;0.0;0.000
10/12/21;9:15 PM;47.5;0.1;86.8;0.0;0.000
10/12/21;9:30 PM;47.2;0.1;88.2;0.0;0.000
10/12/21;9:45 PM;48.2;0.1;88.9;0.0;0.000
10/12/21;10:00 PM;48.0;0.1;87.6;0.0;0.000
10/12/21;10:15 PM;52.4;3.0;56.6;2.2;0.000
10/12/21;10:30 PM;57.8;2.5;33.1;0.1;0.000
10/12/21;10:45 PM;55.7;1.5;35.4;0.0;0.000
10/12/21;11:00 PM;56.5;3.2;34.9;0.0;0.000
10/12/21;11:15 PM;58.0;6.1;34.0;0.0;0.000
10/12/21;11:30 PM;58.8;5.9;33.2;0.0;0.000
10/12/21;11:45 PM;57.7;5.4;35.4;0.0;0.000
10/13/21;12:00 AM;57.5;4.3;35.2;0.0;0.000
10/13/21;12:15 AM;57.3;3.7;35.9;0.0;0.000
10/13/21;12:30 AM;57.5;4.3;34.9;0.0;0.000
10/13/21;12:45 AM;56.0;4.0;37.6;0.0;0.000
