Place,Date,Time,Value_Cloacal,Unit,Thermocouple_Cloacal,Value_Dorsal,Unit,Thermocouple_Dorsal,Value,Unit,Value,Unit,Lizard
1,10/12/2021,13:37:44,13.9,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
2,10/12/2021,13:37:45,13.9,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
3,10/12/2021,13:37:46,13.9,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
4,10/12/2021,13:37:47,14,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
5,10/12/2021,13:37:48,14,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
6,10/12/2021,13:37:49,14,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
7,10/12/2021,13:37:50,14,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
8,10/12/2021,13:37:51,14,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
9,10/12/2021,13:37:52,14,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
10,10/12/2021,13:37:53,14.1,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
11,10/12/2021,13:37:54,14.1,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
12,10/12/2021,13:37:55,14.1,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
13,10/12/2021,13:37:56,14.1,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
14,10/12/2021,13:37:57,14.1,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
15,10/12/2021,13:37:58,14.1,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
16,10/12/2021,13:37:59,14.1,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
17,10/12/2021,13:38:00,14.1,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
18,10/12/2021,13:38:01,14.1,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
19,10/12/2021,13:38:02,14.1,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
20,10/12/2021,13:38:03,14.1,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
21,10/12/2021,13:38:04,14.1,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
22,10/12/2021,13:38:05,14.1,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
23,10/12/2021,13:38:06,14.1,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
24,10/12/2021,13:38:07,14.2,T1 KTemp C,B,21.6,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
25,10/12/2021,13:38:08,14.2,T1 KTemp C,B,21.6,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
26,10/12/2021,13:38:09,14.2,T1 KTemp C,B,21.6,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
27,10/12/2021,13:38:10,14.2,T1 KTemp C,B,21.6,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
28,10/12/2021,13:38:11,14.2,T1 KTemp C,B,21.6,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
29,10/12/2021,13:38:12,14.3,T1 KTemp C,B,21.6,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
30,10/12/2021,13:38:13,14.3,T1 KTemp C,B,21.6,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
31,10/12/2021,13:38:14,14.3,T1 KTemp C,B,21.6,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
32,10/12/2021,13:38:15,14.3,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
33,10/12/2021,13:38:16,14.3,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
34,10/12/2021,13:38:17,14.3,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
35,10/12/2021,13:38:18,14.4,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
36,10/12/2021,13:38:19,14.4,T1 KTemp C,B,21.4,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
37,10/12/2021,13:38:20,14.4,T1 KTemp C,B,21.4,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
38,10/12/2021,13:38:21,14.4,T1 KTemp C,B,21.4,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
39,10/12/2021,13:38:22,14.4,T1 KTemp C,B,21.4,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
40,10/12/2021,13:38:23,14.4,T1 KTemp C,B,21.4,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
41,10/12/2021,13:38:24,14.5,T1 KTemp C,B,21.4,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
42,10/12/2021,13:38:25,14.5,T1 KTemp C,B,21.4,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
43,10/12/2021,13:38:26,14.5,T1 KTemp C,B,21.4,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
44,10/12/2021,13:38:27,14.5,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
45,10/12/2021,13:38:28,14.5,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
46,10/12/2021,13:38:29,14.5,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
47,10/12/2021,13:38:30,14.5,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
48,10/12/2021,13:38:31,14.6,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
49,10/12/2021,13:38:32,14.6,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
50,10/12/2021,13:38:33,14.6,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
51,10/12/2021,13:38:34,14.7,T1 KTemp C,B,21.5,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
52,10/12/2021,13:38:35,14.7,T1 KTemp C,B,21.6,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
53,10/12/2021,13:38:36,14.7,T1 KTemp C,B,21.6,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
54,10/12/2021,13:38:37,14.7,T1 KTemp C,B,21.6,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
55,10/12/2021,13:38:38,14.8,T1 KTemp C,B,21.6,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
56,10/12/2021,13:38:39,14.8,T1 KTemp C,B,21.6,T2 KTemp C,G,9999,T3 KTemp C,9999,T4 KTemp C,417
