Place,Date,Time,Value_Cloacal,Unit,Thermocouple_Cloacal,Value_Dorsal,Unit,Thermocouple_Dorsal,Value,Unit,Value,Unit,Lizard
45,10/18/2021,13:27:16,24.3,T1 KTemp C,E,24.3,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
46,10/18/2021,13:27:17,24.3,T1 KTemp C,E,24.3,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
47,10/18/2021,13:27:18,24.3,T1 KTemp C,E,24.3,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
48,10/18/2021,13:27:19,24.4,T1 KTemp C,E,24.3,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
49,10/18/2021,13:27:20,24.4,T1 KTemp C,E,24.3,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
50,10/18/2021,13:27:21,24.4,T1 KTemp C,E,24.3,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
51,10/18/2021,13:27:22,24.4,T1 KTemp C,E,24.3,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
52,10/18/2021,13:27:23,24.4,T1 KTemp C,E,24.3,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
53,10/18/2021,13:27:24,24.4,T1 KTemp C,E,24.3,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
54,10/18/2021,13:27:25,24.4,T1 KTemp C,E,24.3,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
55,10/18/2021,13:27:26,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
56,10/18/2021,13:27:27,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
57,10/18/2021,13:27:28,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
58,10/18/2021,13:27:29,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
59,10/18/2021,13:27:30,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
60,10/18/2021,13:27:31,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
61,10/18/2021,13:27:32,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
62,10/18/2021,13:27:33,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
63,10/18/2021,13:27:34,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
64,10/18/2021,13:27:35,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
65,10/18/2021,13:27:36,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
66,10/18/2021,13:27:37,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
67,10/18/2021,13:27:38,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
68,10/18/2021,13:27:39,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
69,10/18/2021,13:27:40,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
70,10/18/2021,13:27:41,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
71,10/18/2021,13:27:42,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
72,10/18/2021,13:27:43,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
73,10/18/2021,13:27:44,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
74,10/18/2021,13:27:45,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
75,10/18/2021,13:27:46,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
76,10/18/2021,13:27:47,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
77,10/18/2021,13:27:48,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
78,10/18/2021,13:27:49,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
79,10/18/2021,13:27:50,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
80,10/18/2021,13:27:51,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
81,10/18/2021,13:27:52,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
82,10/18/2021,13:27:53,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
83,10/18/2021,13:27:54,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
84,10/18/2021,13:27:55,24.4,T1 KTemp C,E,24.4,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
85,10/18/2021,13:27:56,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
86,10/18/2021,13:27:57,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
87,10/18/2021,13:27:58,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
88,10/18/2021,13:27:59,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
89,10/18/2021,13:28:00,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
90,10/18/2021,13:28:01,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
91,10/18/2021,13:28:02,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
92,10/18/2021,13:28:03,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
93,10/18/2021,13:28:04,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
94,10/18/2021,13:28:05,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
95,10/18/2021,13:28:06,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
96,10/18/2021,13:28:07,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
97,10/18/2021,13:28:08,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
98,10/18/2021,13:28:09,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
99,10/18/2021,13:28:10,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
100,10/18/2021,13:28:11,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
101,10/18/2021,13:28:12,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
102,10/18/2021,13:28:13,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
103,10/18/2021,13:28:14,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
104,10/18/2021,13:28:15,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
105,10/18/2021,13:28:16,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
106,10/18/2021,13:28:17,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
107,10/18/2021,13:28:18,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
108,10/18/2021,13:28:19,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
109,10/18/2021,13:28:20,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
110,10/18/2021,13:28:21,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
111,10/18/2021,13:28:22,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
112,10/18/2021,13:28:23,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
