Place,Date,Time,Value_Cloacal,Unit,Thermocouple_Cloacal,Value_Dorsal,Unit,Thermocouple_Dorsal,Value,Unit,Value,Unit,Lizard
1,10/19/2021,13:43:57,35.9,T1 KTemp C,B,30.2,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
2,10/19/2021,13:43:58,35.9,T1 KTemp C,B,30.2,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
3,10/19/2021,13:43:59,35.9,T1 KTemp C,B,30.2,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
4,10/19/2021,13:44:00,35.9,T1 KTemp C,B,30.4,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
5,10/19/2021,13:44:01,35.9,T1 KTemp C,B,30.5,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
6,10/19/2021,13:44:02,35.9,T1 KTemp C,B,30.7,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
7,10/19/2021,13:44:03,35.9,T1 KTemp C,B,30.7,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
8,10/19/2021,13:44:04,35.9,T1 KTemp C,B,30.8,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
9,10/19/2021,13:44:05,35.9,T1 KTemp C,B,31,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
10,10/19/2021,13:44:06,35.9,T1 KTemp C,B,31,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
11,10/19/2021,13:44:07,36,T1 KTemp C,B,31.1,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
12,10/19/2021,13:44:08,36,T1 KTemp C,B,31.1,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
13,10/19/2021,13:44:09,36,T1 KTemp C,B,31.1,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
14,10/19/2021,13:44:10,36,T1 KTemp C,B,31,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
15,10/19/2021,13:44:11,36,T1 KTemp C,B,31,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
16,10/19/2021,13:44:12,36,T1 KTemp C,B,31,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
17,10/19/2021,13:44:13,36,T1 KTemp C,B,31,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
18,10/19/2021,13:44:14,36,T1 KTemp C,B,31,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
19,10/19/2021,13:44:15,36,T1 KTemp C,B,31.1,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
20,10/19/2021,13:44:16,36,T1 KTemp C,B,31.3,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
21,10/19/2021,13:44:17,36,T1 KTemp C,B,31.4,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
22,10/19/2021,13:44:18,36,T1 KTemp C,B,31.4,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
23,10/19/2021,13:44:19,36,T1 KTemp C,B,31.4,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
24,10/19/2021,13:44:20,36,T1 KTemp C,B,31.5,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
25,10/19/2021,13:44:21,36.1,T1 KTemp C,B,31.5,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
26,10/19/2021,13:44:22,36.1,T1 KTemp C,B,31.5,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
27,10/19/2021,13:44:23,36.1,T1 KTemp C,B,31.5,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
28,10/19/2021,13:44:24,36.1,T1 KTemp C,B,31.5,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
29,10/19/2021,13:44:25,36,T1 KTemp C,B,31.5,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
30,10/19/2021,13:44:26,36,T1 KTemp C,B,31.4,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
31,10/19/2021,13:44:27,36,T1 KTemp C,B,31.4,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
32,10/19/2021,13:44:28,36,T1 KTemp C,B,31.4,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
33,10/19/2021,13:44:29,36,T1 KTemp C,B,31.4,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
34,10/19/2021,13:44:30,36,T1 KTemp C,B,31.4,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
35,10/19/2021,13:44:31,36,T1 KTemp C,B,31.4,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
36,10/19/2021,13:44:32,36,T1 KTemp C,B,31.4,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
37,10/19/2021,13:44:33,35.9,T1 KTemp C,B,31.4,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
38,10/19/2021,13:44:34,35.9,T1 KTemp C,B,31.4,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
39,10/19/2021,13:44:35,35.9,T1 KTemp C,B,31.4,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
40,10/19/2021,13:44:36,35.9,T1 KTemp C,B,31.5,T2 KTemp C,D,9999,T3 KTemp C,9999,T4 KTemp C,432
