Place,Date,Time,Value_Cloacal,Unit,Thermocouple_Cloacal,Value_Dorsal,Unit,Thermocouple_Dorsal,Value,Unit,Value,Unit,Lizard
1,10/5/2021,13:17:44,28.2,T1 KTemp C,C,29.1,T2 KTemp C,H,9999,T3 KTemp C,9999,T4 KTemp C,408
2,10/5/2021,13:17:45,28.2,T1 KTemp C,C,29.1,T2 KTemp C,H,9999,T3 KTemp C,9999,T4 KTemp C,408
3,10/5/2021,13:17:46,28.2,T1 KTemp C,C,29,T2 KTemp C,H,9999,T3 KTemp C,9999,T4 KTemp C,408
4,10/5/2021,13:17:47,28.2,T1 KTemp C,C,28.9,T2 KTemp C,H,9999,T3 KTemp C,9999,T4 KTemp C,408
5,10/5/2021,13:17:48,28.2,T1 KTemp C,C,28.9,T2 KTemp C,H,9999,T3 KTemp C,9999,T4 KTemp C,408
6,10/5/2021,13:17:49,28.2,T1 KTemp C,C,28.8,T2 KTemp C,H,9999,T3 KTemp C,9999,T4 KTemp C,408
7,10/5/2021,13:17:50,28.2,T1 KTemp C,C,28.7,T2 KTemp C,H,9999,T3 KTemp C,9999,T4 KTemp C,408
8,10/5/2021,13:17:51,28.2,T1 KTemp C,C,28.6,T2 KTemp C,H,9999,T3 KTemp C,9999,T4 KTemp C,408
9,10/5/2021,13:17:52,28.2,T1 KTemp C,C,28.6,T2 KTemp C,H,9999,T3 KTemp C,9999,T4 KTemp C,408
10,10/5/2021,13:17:53,28.1,T1 KTemp C,C,28.5,T2 KTemp C,H,9999,T3 KTemp C,9999,T4 KTemp C,408
11,10/5/2021,13:17:54,28.1,T1 KTemp C,C,28.5,T2 KTemp C,H,9999,T3 KTemp C,9999,T4 KTemp C,408
12,10/5/2021,13:17:55,28.1,T1 KTemp C,C,28.5,T2 KTemp C,H,9999,T3 KTemp C,9999,T4 KTemp C,408
13,10/5/2021,13:17:56,28.1,T1 KTemp C,C,28.4,T2 KTemp C,H,9999,T3 KTemp C,9999,T4 KTemp C,408
14,10/5/2021,13:17:57,28.1,T1 KTemp C,C,28.4,T2 KTemp C,H,9999,T3 KTemp C,9999,T4 KTemp C,408
15,10/5/2021,13:17:58,28.1,T1 KTemp C,C,28.4,T2 KTemp C,H,9999,T3 KTemp C,9999,T4 KTemp C,408
16,10/5/2021,13:17:59,28.2,T1 KTemp C,C,28.3,T2 KTemp C,H,9999,T3 KTemp C,9999,T4 KTemp C,408
17,10/5/2021,13:18:00,28.2,T1 KTemp C,C,28.3,T2 KTemp C,H,9999,T3 KTemp C,9999,T4 KTemp C,408
18,10/5/2021,13:18:01,28.2,T1 KTemp C,C,28.3,T2 KTemp C,H,9999,T3 KTemp C,9999,T4 KTemp C,408
