Probe,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854,203854
date,10/5/21,10/5/21,10/5/21,10/5/21,10/5/21,10/5/21,10/5/21,10/5/21,10/11/21,10/11/21,10/11/21,10/11/21,10/11/21,10/11/21,10/11/21,10/11/21,10/12/21,10/12/21,10/12/21,10/12/21,10/12/21,10/12/21,10/12/21,10/18/21,10/18/21,10/18/21,10/18/21,10/18/21,10/18/21,10/18/21,10/18/21,10/19/21,10/19/21,10/19/21,10/19/21,10/19/21,10/19/21,10/19/21,10/19/21
time_start,2:36:44 PM,3:58:39 PM,4:30:31 PM,4:51:15 PM,3:25:40 PM,2:58:21 PM,5:19:02 PM,1:21:12 PM,3:11:30 PM,3:40:39 PM,2:11:19 PM,2:45:30 PM,4:11:50 PM,4:57:39 PM,1:25:17 PM,4:30:55 PM,1:40:16 PM,3:10:09 PM,4:03:59 PM,2:30:40 PM,2:04:09 PM,3:37:50 PM,5:35:47 PM,2:04:11 PM,1:29:25 PM,3:08:34 PM,5:01:43 PM,5:24:19 PM,3:48:46 PM,2:37:31 PM,4:33:08 PM,1:44:52 PM,2:07:33 PM,4:30:20 PM,4:09:44 PM,2:27:02 PM,3:21:03 PM,3:49:34 PM,2:55:36 PM
FluxCal,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73
BaseCal,-4.32E-02,-3.55E-02,-3.55E-02,-3.55E-02,-4.32E-02,-4.32E-02,-3.55E-02,-6.58E-02,-2.79E-02,-2.79E-02,-3.32E-02,-2.79E-02,-2.79E-02,-2.79E-02,-3.32E-02,-2.79E-02,4.06E-02,4.06E-02,4.06E-02,4.06E-02,4.06E-02,4.06E-02,4.06E-02,-3.30E-02,-3.30E-02,-1.76E-02,-1.76E-02,-1.76E-02,-1.76E-02,-1.76E-02,-1.76E-02,0.0309122,0.0309122,0.0309122,0.0309122,0.0309122,0.0309122,0.0309122,0.0309122
CapFactor,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
Sensor Offset,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66,-93.66
Sensor Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comments,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,439,438,437,436,435,434
